                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4743,                 7.7603,                 2.1968,                0.00242,                0.25472,                0.00643,                0.00193,                 2.2502,                 6.4396,                 2.2431,              0.0032576,              0.0032576,              0.0032576
                      2,                 2.1411,                 5.6849,                 1.8038,                0.78933,                0.04326,                0.11002,                0.03594,                 2.2098,                 4.2936,                 1.9834,              0.0065844,              0.0065844,              0.0065844
                      3,                 2.1126,                 4.4461,                 1.7496,                0.57946,                0.11165,                0.11761,                0.03829,                  2.248,                 3.2974,                 2.0548,              0.0099046,              0.0099046,              0.0099046
                      4,                 2.0703,                 3.5682,                 1.7304,                0.55899,                0.15932,                0.13653,                 0.0431,                 2.1484,                  3.041,                 2.0816,              0.0099703,              0.0099703,              0.0099703
                      5,                 2.0385,                 2.8104,                 1.6868,                0.54801,                0.16445,                0.09472,                0.02912,                 2.3412,                 3.7279,                 2.1327,              0.0099604,              0.0099604,              0.0099604
                      6,                 1.9947,                 2.4086,                  1.686,                0.32701,                0.30513,                0.29851,                0.10254,                  2.096,                 3.4432,                 1.9715,              0.0099505,              0.0099505,              0.0099505
                      7,                 1.9519,                  2.145,                 1.6662,                 0.4396,                0.35549,                 0.3633,                0.13958,                  2.205,                 2.4584,                 1.9902,              0.0099406,              0.0099406,              0.0099406
                      8,                 1.9124,                 1.9178,                 1.6043,                0.49574,                0.51763,                0.48363,                0.19496,                 1.9157,                 2.2505,                 1.7958,              0.0099307,              0.0099307,              0.0099307
                      9,                  1.899,                 1.7963,                 1.6096,                0.49631,                0.41571,                0.42848,                0.19239,                 1.9815,                 2.4184,                 1.8044,              0.0099208,              0.0099208,              0.0099208
                     10,                 1.8428,                 1.6508,                 1.5838,                0.38942,                0.45311,                0.39002,                0.15188,                  2.207,                 2.7487,                  1.992,              0.0099109,              0.0099109,              0.0099109
                     11,                 1.8067,                 1.5759,                 1.5306,                0.39374,                0.45898,                0.40905,                0.17955,                 2.1023,                  2.061,                 1.9226,               0.009901,               0.009901,               0.009901
                     12,                 1.8179,                 1.5274,                 1.5355,                0.68813,                 0.4898,                0.59606,                0.25757,                 1.9387,                 1.7964,                 1.7779,              0.0098911,              0.0098911,              0.0098911
                     13,                 1.7903,                 1.4537,                 1.5121,                0.66798,                0.49619,                 0.5623,                0.23848,                 1.9971,                 1.7898,                 1.7647,              0.0098812,              0.0098812,              0.0098812
                     14,                 1.8063,                 1.3908,                 1.5233,                0.71131,                 0.5814,                0.63634,                 0.2726,                 2.0048,                 1.5478,                 1.7953,              0.0098713,              0.0098713,              0.0098713
                     15,                 1.7939,                 1.4026,                 1.5173,                0.59856,                0.59045,                0.58655,                0.25402,                 1.9813,                 1.7908,                 1.8246,              0.0098614,              0.0098614,              0.0098614
                     16,                 1.7452,                  1.353,                 1.4811,                0.58344,                 0.5501,                0.57728,                0.25601,                 1.9464,                 1.7026,                 1.7608,              0.0098515,              0.0098515,              0.0098515
                     17,                 1.7315,                 1.3249,                 1.4596,                0.71871,                0.56049,                0.61321,                0.28922,                 1.8881,                 1.4842,                 1.7169,              0.0098416,              0.0098416,              0.0098416
                     18,                 1.7279,                 1.2897,                 1.4704,                0.58328,                 0.5815,                0.59399,                0.27458,                 1.9945,                 1.7598,                  1.831,              0.0098317,              0.0098317,              0.0098317
                     19,                 1.7179,                 1.2828,                 1.4559,                 0.6855,                0.65132,                0.70977,                0.33212,                 1.8802,                 1.4181,                 1.6942,              0.0098218,              0.0098218,              0.0098218
                     20,                 1.7356,                 1.2449,                 1.4795,                0.76572,                0.61874,                0.69546,                0.30401,                 1.9695,                 1.4235,                  1.808,              0.0098119,              0.0098119,              0.0098119
                     21,                 1.7105,                  1.233,                 1.4617,                0.90669,                 0.6969,                0.78236,                0.36437,                 1.8178,                 1.2352,                 1.6696,               0.009802,               0.009802,               0.009802
                     22,                 1.6774,                 1.1944,                 1.4434,                0.67404,                0.59822,                0.62735,                0.27943,                 1.9746,                 1.5196,                 1.7915,              0.0097921,              0.0097921,              0.0097921
                     23,                 1.6591,                  1.167,                 1.4265,                0.76101,                0.65584,                0.70582,                0.33602,                 1.8648,                 1.3383,                 1.7207,              0.0097822,              0.0097822,              0.0097822
                     24,                 1.6686,                 1.1484,                 1.4337,                0.74506,                0.64933,                0.73572,                0.33914,                 1.8596,                 1.3422,                 1.7324,              0.0097723,              0.0097723,              0.0097723
                     25,                 1.6531,                 1.1387,                 1.4177,                0.75476,                0.72215,                0.74398,                0.35782,                 1.7955,                 1.2466,                 1.6412,              0.0097624,              0.0097624,              0.0097624
                     26,                 1.6452,                 1.1134,                  1.435,                0.76359,                0.70982,                0.76711,                 0.3618,                 1.7937,                 1.1603,                 1.6726,              0.0097525,              0.0097525,              0.0097525
                     27,                 1.6244,                 1.0732,                 1.4087,                0.84551,                0.63297,                0.75501,                0.35272,                 1.8757,                 1.2447,                 1.7179,              0.0097426,              0.0097426,              0.0097426
                     28,                  1.652,                  1.086,                 1.4216,                 0.8196,                0.67557,                0.77028,                0.39726,                 1.7531,                  1.212,                 1.6546,              0.0097327,              0.0097327,              0.0097327
                     29,                 1.6474,                 1.1025,                 1.4166,                0.83122,                0.59591,                 0.7188,                0.35704,                  1.831,                 1.3103,                 1.7103,              0.0097228,              0.0097228,              0.0097228
                     30,                 1.6241,                 1.0736,                 1.3923,                0.81058,                0.74456,                0.82274,                0.39029,                 1.7735,                 1.1058,                 1.6461,              0.0097129,              0.0097129,              0.0097129
                     31,                 1.6314,                 1.0648,                 1.3912,                0.73534,                0.71427,                 0.7684,                0.36653,                 1.8154,                 1.2757,                 1.6893,               0.009703,               0.009703,               0.009703
                     32,                 1.6197,                 1.0389,                 1.3924,                0.81615,                0.66054,                0.76835,                0.39391,                 1.8007,                 1.1301,                 1.6343,              0.0096931,              0.0096931,              0.0096931
                     33,                 1.6076,                 1.0439,                 1.3851,                0.75345,                0.69369,                0.73342,                0.37259,                   1.75,                 1.1472,                 1.6373,              0.0096832,              0.0096832,              0.0096832
                     34,                 1.5818,                 1.0144,                 1.3726,                0.72775,                0.69607,                0.72919,                0.35676,                 1.8015,                 1.2132,                 1.6767,              0.0096733,              0.0096733,              0.0096733
                     35,                 1.5958,                 1.0621,                  1.385,                0.79768,                0.72239,                0.79783,                0.38889,                 1.7869,                 1.1577,                 1.6491,              0.0096634,              0.0096634,              0.0096634
                     36,                 1.5747,                 1.0231,                 1.3829,                0.80168,                0.72006,                0.77191,                0.35568,                 1.8258,                 1.2173,                 1.6862,              0.0096535,              0.0096535,              0.0096535
                     37,                 1.5741,                0.99831,                 1.3655,                  0.809,                0.72424,                0.77854,                0.37418,                 1.7746,                  1.119,                 1.6619,              0.0096436,              0.0096436,              0.0096436
                     38,                 1.5764,                  1.015,                 1.3889,                0.78343,                0.71646,                 0.7632,                0.36457,                 1.8355,                 1.2074,                 1.7011,              0.0096337,              0.0096337,              0.0096337
                     39,                 1.5918,                 1.0066,                 1.3698,                0.85535,                0.62872,                0.72727,                0.34704,                 1.8654,                 1.2294,                 1.7153,              0.0096238,              0.0096238,              0.0096238
                     40,                 1.5613,                0.97994,                 1.3564,                0.76844,                0.74317,                0.79535,                0.38571,                 1.8005,                 1.1422,                 1.6693,              0.0096139,              0.0096139,              0.0096139
                     41,                 1.5501,                0.95655,                 1.3435,                0.80963,                0.63088,                0.73718,                0.34792,                 1.8196,                 1.2636,                 1.6734,               0.009604,               0.009604,               0.009604
                     42,                 1.5694,                0.96795,                 1.3609,                0.78546,                0.71124,                0.77046,                0.36489,                 1.7703,                 1.0974,                 1.6341,              0.0095941,              0.0095941,              0.0095941
                     43,                 1.5521,                0.99547,                 1.3615,                0.74297,                0.66712,                0.73101,                0.34608,                 1.7806,                  1.216,                 1.6411,              0.0095842,              0.0095842,              0.0095842
                     44,                 1.5288,                 0.9141,                 1.3423,                0.79681,                0.70081,                0.81328,                0.39076,                 1.7497,                 1.0522,                 1.6276,              0.0095743,              0.0095743,              0.0095743
                     45,                 1.5203,                 0.9499,                 1.3468,                 0.9116,                 0.6712,                0.78369,                 0.3562,                 1.7532,                  1.205,                 1.6223,              0.0095644,              0.0095644,              0.0095644
                     46,                 1.5466,                0.93986,                 1.3666,                0.79385,                0.79734,                 0.8476,                 0.4182,                 1.7449,                   1.06,                 1.6376,              0.0095545,              0.0095545,              0.0095545
                     47,                 1.5489,                0.92859,                 1.3719,                0.81973,                 0.7587,                0.83339,                 0.4039,                 1.7962,                  1.101,                 1.6607,              0.0095446,              0.0095446,              0.0095446
                     48,                 1.5167,                0.90852,                 1.3321,                0.84008,                0.74079,                0.81021,                0.38658,                 1.7778,                 1.0314,                 1.6696,              0.0095347,              0.0095347,              0.0095347
                     49,                  1.486,                0.89072,                 1.3288,                0.91215,                0.68766,                 0.8149,                0.39759,                 1.7389,                 1.0496,                 1.6506,              0.0095248,              0.0095248,              0.0095248
                     50,                 1.4782,                 0.8983,                 1.3339,                0.77707,                0.71719,                0.76746,                0.36829,                 1.8181,                 1.1556,                 1.6686,              0.0095149,              0.0095149,              0.0095149
                     51,                 1.4846,                0.87046,                 1.3103,                0.80855,                0.67802,                0.75346,                0.34578,                  1.859,                 1.2638,                 1.6992,               0.009505,               0.009505,               0.009505
                     52,                 1.5003,                0.90174,                 1.3409,                0.79387,                0.75077,                0.79317,                0.36889,                 1.7842,                 1.1043,                 1.6601,              0.0094951,              0.0094951,              0.0094951
                     53,                 1.4789,                0.87469,                 1.3009,                0.80986,                0.74293,                0.79944,                0.39725,                 1.7965,                 1.0516,                 1.6661,              0.0094852,              0.0094852,              0.0094852
                     54,                 1.4864,                0.91221,                 1.3144,                0.83489,                0.71238,                0.81468,                0.39088,                 1.7977,                   1.11,                 1.6751,              0.0094753,              0.0094753,              0.0094753
                     55,                 1.4847,                0.87488,                  1.318,                 0.7978,                0.76478,                0.79081,                0.38037,                 1.8194,                   1.03,                 1.6867,              0.0094654,              0.0094654,              0.0094654
                     56,                 1.5003,                0.86629,                  1.333,                0.78309,                0.73264,                0.76623,                0.36875,                 1.8488,                 1.0245,                 1.6865,              0.0094555,              0.0094555,              0.0094555
                     57,                 1.4769,                0.84587,                 1.2976,                0.73261,                0.74228,                0.75706,                0.38008,                 1.7925,                 1.1458,                 1.6665,              0.0094456,              0.0094456,              0.0094456
                     58,                 1.4896,                 0.8848,                 1.3041,                 0.7493,                0.77031,                0.80923,                0.40012,                 1.7473,                 1.0024,                 1.6385,              0.0094357,              0.0094357,              0.0094357
                     59,                 1.4767,                0.84751,                 1.3178,                0.85695,                0.71809,                0.82001,                 0.3928,                 1.7511,                 1.0885,                 1.6181,              0.0094258,              0.0094258,              0.0094258
                     60,                 1.4518,                0.84514,                 1.3014,                0.72967,                0.69981,                0.73859,                 0.3354,                 1.9292,                  1.254,                 1.7682,              0.0094159,              0.0094159,              0.0094159
                     61,                  1.439,                0.82205,                 1.2804,                0.74959,                0.69814,                0.74098,                0.34627,                 1.8792,                 1.2284,                 1.7197,               0.009406,               0.009406,               0.009406
                     62,                 1.4386,                0.83798,                 1.2956,                0.80657,                0.79237,                0.83419,                0.41053,                 1.7645,                 1.0108,                 1.6469,              0.0093961,              0.0093961,              0.0093961
                     63,                 1.4745,                0.86379,                 1.3174,                0.89741,                0.78744,                0.89456,                0.40975,                 1.7499,                 0.9439,                 1.6315,              0.0093862,              0.0093862,              0.0093862
                     64,                 1.4606,                0.84352,                 1.2949,                0.80859,                0.71982,                0.81436,                  0.392,                 1.8017,                 1.0166,                 1.6634,              0.0093763,              0.0093763,              0.0093763
                     65,                 1.4118,                 0.8242,                 1.2803,                0.81809,                0.71884,                0.78245,                0.39446,                 1.7711,                 1.0358,                 1.6779,              0.0093664,              0.0093664,              0.0093664
                     66,                   1.41,                0.81422,                 1.2771,                 0.8876,                0.65233,                0.78421,                0.35945,                 1.8266,                 1.1254,                 1.6828,              0.0093565,              0.0093565,              0.0093565
                     67,                 1.4269,                0.81072,                 1.2837,                0.86034,                0.79936,                 0.8526,                0.41076,                 1.7702,                 0.9776,                 1.6717,              0.0093466,              0.0093466,              0.0093466
                     68,                 1.3948,                0.82097,                 1.2842,                 0.8792,                0.77808,                0.83967,                0.41017,                 1.7674,                0.95386,                 1.6596,              0.0093367,              0.0093367,              0.0093367
                     69,                 1.4069,                0.80107,                 1.2759,                0.87257,                0.78519,                0.85624,                0.42449,                 1.7261,                 1.0102,                 1.6293,              0.0093268,              0.0093268,              0.0093268
                     70,                 1.3969,                0.81419,                 1.2592,                0.86045,                0.74005,                 0.8521,                0.41228,                 1.7637,                 1.0337,                 1.6701,              0.0093169,              0.0093169,              0.0093169
                     71,                 1.4249,                 0.8052,                 1.2802,                0.81205,                0.71162,                0.80897,                0.38665,                 1.7877,                 1.0893,                 1.6609,               0.009307,               0.009307,               0.009307
