                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4242,                 5.4586,                 1.9294,                0.00453,                0.35459,                0.07688,                 0.0225,                 2.1226,                 4.2015,                 1.6101,              0.0032843,              0.0032843,              0.0032843
                      2,                 2.1292,                 3.8669,                 1.6355,                0.36869,                0.17169,                0.15469,                0.04781,                 2.2035,                 3.1067,                 1.7114,              0.0066111,              0.0066111,              0.0066111
                      3,                 2.0812,                 3.3284,                 1.5882,                0.46246,                0.20638,                0.20007,                0.06997,                  2.105,                 2.6093,                 1.6212,              0.0099313,              0.0099313,              0.0099313
                      4,                  2.061,                 2.9687,                 1.5792,                0.50934,                0.32109,                0.31416,                0.11611,                 2.0859,                 2.4368,                 1.6683,              0.0099703,              0.0099703,              0.0099703
                      5,                 2.0208,                 2.4762,                 1.5122,                0.58566,                0.30623,                0.33749,                0.12582,                 2.1812,                 2.0331,                 1.6286,              0.0099604,              0.0099604,              0.0099604
                      6,                 1.9792,                 2.1798,                 1.4895,                0.31288,                0.36922,                0.30439,                0.12335,                 2.1436,                 2.4169,                 1.8157,              0.0099505,              0.0099505,              0.0099505
                      7,                 1.9604,                 2.0211,                 1.4762,                0.46664,                0.55212,                0.50723,                0.21807,                 1.9663,                 1.7858,                 1.5092,              0.0099406,              0.0099406,              0.0099406
                      8,                 1.9055,                 1.8552,                 1.4498,                0.56072,                  0.467,                0.50155,                0.22435,                 2.0418,                 1.8014,                 1.6106,              0.0099307,              0.0099307,              0.0099307
                      9,                 1.8876,                 1.6818,                 1.4279,                0.72917,                0.55658,                0.63012,                0.26935,                  1.979,                 1.6925,                 1.5783,              0.0099208,              0.0099208,              0.0099208
                     10,                 1.8698,                 1.6244,                 1.4242,                0.63077,                0.59056,                0.62196,                 0.2501,                 2.0083,                 1.7781,                 1.5682,              0.0099109,              0.0099109,              0.0099109
                     11,                 1.8316,                 1.5307,                 1.3872,                0.53961,                0.58823,                0.54696,                0.24301,                 2.0062,                  1.643,                 1.5534,               0.009901,               0.009901,               0.009901
                     12,                 1.8425,                 1.4851,                 1.3822,                0.67097,                0.64685,                0.65057,                0.30034,                 1.9528,                 1.5716,                 1.5127,              0.0098911,              0.0098911,              0.0098911
                     13,                 1.8073,                 1.4398,                 1.3687,                0.71171,                0.50542,                0.60492,                0.26001,                 1.9412,                  1.593,                 1.5005,              0.0098812,              0.0098812,              0.0098812
                     14,                 1.8003,                 1.3864,                 1.3705,                0.71874,                0.71459,                0.75092,                 0.3459,                 1.8753,                 1.4163,                 1.4746,              0.0098713,              0.0098713,              0.0098713
                     15,                 1.7968,                 1.3711,                 1.3616,                0.76002,                0.58524,                0.68364,                0.29563,                 1.9929,                 1.5607,                 1.5428,              0.0098614,              0.0098614,              0.0098614
                     16,                 1.7707,                 1.3064,                  1.346,                0.79416,                0.67181,                0.74691,                0.33885,                 1.9198,                 1.3421,                 1.4726,              0.0098515,              0.0098515,              0.0098515
                     17,                 1.7614,                 1.2987,                 1.3481,                0.65791,                 0.6973,                0.75015,                0.36521,                 1.8205,                 1.2595,                 1.4523,              0.0098416,              0.0098416,              0.0098416
                     18,                  1.751,                 1.2275,                 1.3245,                0.71763,                0.67121,                0.72628,                0.34091,                 1.8733,                 1.3694,                 1.4661,              0.0098317,              0.0098317,              0.0098317
                     19,                 1.7465,                 1.2271,                 1.3431,                0.81575,                0.66504,                0.77833,                 0.3575,                 1.8869,                 1.1877,                 1.4817,              0.0098218,              0.0098218,              0.0098218
                     20,                 1.7212,                 1.1837,                 1.3095,                0.74243,                 0.7003,                0.76438,                0.36619,                 1.8113,                 1.1745,                 1.4114,              0.0098119,              0.0098119,              0.0098119
                     21,                 1.7062,                 1.1747,                 1.3241,                0.76556,                0.65622,                0.75987,                0.34854,                 1.8563,                 1.2129,                 1.4402,               0.009802,               0.009802,               0.009802
                     22,                 1.7226,                 1.1657,                 1.3172,                0.83283,                0.71385,                0.79771,                0.39447,                 1.8315,                  1.152,                 1.4342,              0.0097921,              0.0097921,              0.0097921
                     23,                 1.7081,                 1.1553,                 1.3181,                0.85841,                0.73837,                0.83739,                0.41333,                 1.8061,                 1.0671,                 1.4258,              0.0097822,              0.0097822,              0.0097822
                     24,                 1.6845,                 1.1425,                 1.3015,                0.84429,                0.76897,                0.84072,                0.40612,                 1.8006,                 1.1061,                 1.3946,              0.0097723,              0.0097723,              0.0097723
                     25,                 1.6995,                 1.1166,                 1.3077,                0.86998,                0.79051,                0.85805,                0.40805,                 1.7817,                 1.0793,                 1.3925,              0.0097624,              0.0097624,              0.0097624
                     26,                 1.6696,                  1.122,                 1.2929,                0.75336,                0.66586,                0.77179,                0.34934,                 1.8393,                 1.2917,                 1.4839,              0.0097525,              0.0097525,              0.0097525
                     27,                 1.6663,                 1.0986,                 1.2981,                0.87417,                0.80286,                0.86723,                0.44059,                 1.7062,                 1.0009,                 1.3875,              0.0097426,              0.0097426,              0.0097426
                     28,                 1.6553,                 1.0779,                  1.299,                0.84417,                0.76647,                0.84505,                0.40003,                 1.8144,                 1.0943,                 1.4395,              0.0097327,              0.0097327,              0.0097327
                     29,                 1.6362,                   1.06,                 1.2721,                0.85825,                0.77396,                0.84673,                0.41907,                 1.7506,                 1.0111,                  1.421,              0.0097228,              0.0097228,              0.0097228
                     30,                 1.6679,                 1.0699,                 1.2733,                 0.8469,                0.75591,                0.85704,                0.40835,                 1.8039,                 1.1111,                 1.3919,              0.0097129,              0.0097129,              0.0097129
                     31,                 1.6391,                 1.0426,                 1.2784,                0.85227,                0.66997,                 0.7795,                0.37719,                 1.8425,                  1.222,                 1.4327,               0.009703,               0.009703,               0.009703
                     32,                 1.6294,                 1.0353,                 1.2669,                0.80836,                 0.6048,                0.70925,                0.32021,                 1.9612,                 1.4357,                 1.5555,              0.0096931,              0.0096931,              0.0096931
                     33,                 1.6341,                 1.0044,                 1.2768,                0.84696,                0.63228,                0.76166,                0.36406,                 1.8941,                 1.3627,                 1.4646,              0.0096832,              0.0096832,              0.0096832
                     34,                 1.6307,                   1.01,                 1.2689,                0.82524,                0.75227,                0.84106,                0.40747,                 1.7984,                 1.0852,                  1.417,              0.0096733,              0.0096733,              0.0096733
                     35,                  1.606,                 1.0192,                 1.2627,                0.88594,                0.77476,                0.88156,                 0.4355,                 1.7456,                 1.0058,                 1.4099,              0.0096634,              0.0096634,              0.0096634
                     36,                 1.5982,                0.99697,                 1.2536,                 0.8209,                 0.8009,                0.85984,                0.43237,                 1.7591,                 1.0191,                 1.4156,              0.0096535,              0.0096535,              0.0096535
                     37,                 1.6035,                0.97878,                 1.2462,                0.83326,                0.74177,                0.82527,                0.40211,                 1.8041,                 1.0703,                 1.3953,              0.0096436,              0.0096436,              0.0096436
