                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2759,                 4.3563,                 2.1989,                0.00948,                0.16906,                0.00518,                0.00119,                 3.6064,                    inf,                 8.1574,               0.070667,              0.0032593,              0.0032593
                      2,                 3.1306,                 3.2036,                 2.1448,                0.00075,                0.03952,                0.00045,                0.00017,                 4.8888,                    inf,                  9.905,                0.04066,              0.0065861,              0.0065861
                      3,                 3.0461,                 3.0945,                  2.096,                0.20056,                0.05945,                0.00133,                0.00021,                  3.718,                    inf,                  3.462,               0.010647,              0.0099063,              0.0099063
                      4,                 2.9639,                 2.8726,                 2.0578,                0.20754,                0.04808,                0.00212,                0.00063,                  3.998,                 78.947,                 3.2567,              0.0099703,              0.0099703,              0.0099703
                      5,                 2.8657,                 2.7281,                 2.0071,                0.32668,                0.14775,                0.05967,                 0.0201,                 2.9425,                 15.995,                 2.3364,              0.0099604,              0.0099604,              0.0099604
                      6,                 2.8156,                  2.672,                 2.0066,                0.26817,                0.20761,                0.08389,                0.02862,                 2.9673,                  4.553,                 2.2786,              0.0099505,              0.0099505,              0.0099505
                      7,                 2.7519,                 2.5757,                 1.9534,                 0.5414,                0.09034,                0.11155,                0.03312,                 3.0753,                 5.8096,                 2.4892,              0.0099406,              0.0099406,              0.0099406
                      8,                 2.7246,                 2.5099,                 1.9285,                0.59261,                0.25046,                0.18447,                0.06858,                 2.8253,                 2.9674,                  2.099,              0.0099307,              0.0099307,              0.0099307
                      9,                 2.6521,                 2.4267,                 1.9045,                0.37986,                0.19358,                0.14044,                0.04517,                 2.8772,                 3.9609,                 2.2159,              0.0099208,              0.0099208,              0.0099208
                     10,                 2.6404,                 2.2889,                   1.88,                0.36655,                0.23384,                0.18839,                0.06792,                  2.845,                 3.5216,                 2.1227,              0.0099109,              0.0099109,              0.0099109
                     11,                 2.6222,                 2.1959,                 1.8387,                0.07986,                0.13223,                0.05911,                0.01714,                 3.5765,                 5.6683,                   2.76,               0.009901,               0.009901,               0.009901
                     12,                 2.6295,                 2.2712,                 1.8773,                0.36259,                0.40257,                 0.2713,                0.10576,                  2.671,                 3.6998,                 2.0263,              0.0098911,              0.0098911,              0.0098911
                     13,                 2.5628,                   2.18,                  1.822,                0.27152,                0.38414,                0.27796,                0.10465,                 2.6011,                 2.8074,                 2.0035,              0.0098812,              0.0098812,              0.0098812
                     14,                  2.561,                 2.1362,                 1.8272,                0.43519,                0.27369,                0.29699,                0.12044,                 2.7678,                 2.4572,                 2.1565,              0.0098713,              0.0098713,              0.0098713
                     15,                 2.5194,                 2.0376,                 1.7774,                0.33939,                0.33928,                0.30689,                0.11974,                 2.7018,                 2.5041,                 2.0719,              0.0098614,              0.0098614,              0.0098614
                     16,                 2.5422,                 1.9961,                 1.7644,                0.43348,                0.44984,                0.42322,                0.16721,                  2.569,                 2.0436,                 1.9351,              0.0098515,              0.0098515,              0.0098515
                     17,                  2.453,                 1.9383,                 1.7427,                0.48991,                0.39763,                0.40602,                0.16614,                 2.5394,                 2.6714,                 1.9786,              0.0098416,              0.0098416,              0.0098416
                     18,                 2.4397,                 1.9193,                   1.74,                0.42188,                0.40245,                0.37532,                0.13821,                 2.5463,                 1.9702,                 1.9053,              0.0098317,              0.0098317,              0.0098317
                     19,                 2.4253,                 1.8729,                 1.7112,                0.56151,                0.51999,                0.48518,                0.18977,                 2.4828,                 1.8803,                 1.9076,              0.0098218,              0.0098218,              0.0098218
                     20,                 2.4122,                 1.8565,                 1.7197,                0.49033,                0.38852,                0.40449,                0.15769,                 2.5687,                 2.8985,                  1.934,              0.0098119,              0.0098119,              0.0098119
                     21,                 2.4611,                 1.8379,                 1.7445,                0.50048,                0.48512,                0.48095,                0.18292,                 2.5267,                 1.9836,                 1.8732,               0.009802,               0.009802,               0.009802
                     22,                 2.3941,                 1.7808,                 1.7057,                0.40915,                0.41771,                 0.3655,                0.14989,                 2.6033,                 2.2584,                 2.0271,              0.0097921,              0.0097921,              0.0097921
                     23,                  2.423,                 1.7717,                 1.7112,                0.57789,                0.50127,                0.48611,                0.19816,                 2.4597,                 1.8717,                 1.8768,              0.0097822,              0.0097822,              0.0097822
                     24,                 2.3402,                 1.7639,                 1.6815,                0.57679,                0.48009,                0.48447,                0.19658,                 2.3434,                 2.0125,                  1.826,              0.0097723,              0.0097723,              0.0097723
