                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.91172,                0.49037,                 1.0057,                0.85663,                0.80858,                0.84044,                0.41584,                  1.817,                0.89513,                 1.8897,              0.0032576,              0.0032576,              0.0032576
                      2,                0.86671,                0.47517,                0.99778,                0.90279,                0.80158,                0.89485,                 0.4215,                 1.8466,                0.98483,                 1.8833,              0.0065844,              0.0065844,              0.0065844
                      3,                0.93769,                0.50871,                 1.0213,                0.83466,                0.79605,                0.82692,                0.40168,                 1.8383,                0.90447,                 1.8488,              0.0099046,              0.0099046,              0.0099046
                      4,                0.94895,                0.50994,                 1.0308,                0.85484,                0.77582,                0.82364,                0.39916,                 1.7755,                0.94794,                 1.8003,              0.0099703,              0.0099703,              0.0099703
                      5,                0.98332,                0.53581,                 1.0367,                0.87992,                0.75882,                0.83357,                0.40893,                 1.8054,                0.89584,                 1.8538,              0.0099604,              0.0099604,              0.0099604
                      6,                0.98968,                0.53818,                 1.0415,                0.94805,                0.74151,                0.85759,                0.38442,                 1.8793,                 1.0153,                 1.8669,              0.0099505,              0.0099505,              0.0099505
                      7,                 1.0042,                0.54351,                 1.0632,                0.86903,                0.87226,                0.87378,                0.42431,                 1.8515,                 1.0366,                 1.8725,              0.0099406,              0.0099406,              0.0099406
                      8,                 1.0102,                0.54421,                 1.0422,                0.87807,                0.73631,                0.85261,                0.40143,                 1.8486,                 0.9603,                 1.8505,              0.0099307,              0.0099307,              0.0099307
                      9,                 1.0065,                0.53403,                 1.0626,                0.86822,                0.79496,                 0.8518,                0.39215,                 1.8283,                0.96529,                 1.8303,              0.0099208,              0.0099208,              0.0099208
                     10,                 1.0078,                  0.551,                 1.0708,                 0.8272,                0.70123,                0.77574,                0.37609,                  1.869,                0.97241,                 1.9008,              0.0099109,              0.0099109,              0.0099109
                     11,                 1.0165,                0.53394,                 1.0593,                0.81714,                0.69411,                0.76615,                0.35878,                 1.9044,                 1.2157,                 1.8906,               0.009901,               0.009901,               0.009901
                     12,                 1.0129,                0.55035,                 1.0608,                0.85217,                0.77889,                0.84489,                0.41146,                 1.8631,                0.93146,                 1.9197,              0.0098911,              0.0098911,              0.0098911
                     13,                 1.0193,                0.54928,                 1.0611,                 0.8922,                0.75546,                0.81415,                0.39776,                 1.8314,                 1.0016,                  1.856,              0.0098812,              0.0098812,              0.0098812
                     14,                 1.0364,                0.55457,                 1.0703,                0.83798,                0.69934,                0.78914,                0.36472,                 1.9078,                 1.0817,                 1.8799,              0.0098713,              0.0098713,              0.0098713
                     15,                 1.0304,                0.55211,                 1.0717,                0.84528,                0.75254,                0.80715,                0.38105,                 1.8446,                0.96085,                 1.8263,              0.0098614,              0.0098614,              0.0098614
                     16,                0.99746,                0.54472,                 1.0518,                0.83908,                0.76205,                0.80637,                0.37197,                 1.8524,                  1.014,                 1.8447,              0.0098515,              0.0098515,              0.0098515
                     17,                  1.034,                0.56508,                 1.0692,                 0.8298,                 0.8414,                0.86134,                0.43316,                 1.8162,                0.92648,                 1.8396,              0.0098416,              0.0098416,              0.0098416
                     18,                0.99946,                0.55101,                 1.0569,                0.92326,                0.79429,                0.87324,                0.38757,                 1.8239,                0.91276,                 1.8509,              0.0098317,              0.0098317,              0.0098317
                     19,                 1.0135,                0.57091,                  1.054,                0.90886,                0.82307,                0.87654,                0.39619,                  1.793,                0.87107,                 1.8035,              0.0098218,              0.0098218,              0.0098218
                     20,                 1.0076,                0.54671,                 1.0629,                0.89994,                0.77316,                0.85414,                0.39286,                 1.8173,                0.95773,                 1.8202,              0.0098119,              0.0098119,              0.0098119
                     21,                 1.0184,                0.55473,                 1.0585,                0.87216,                0.66279,                0.75859,                0.35501,                 1.8373,                 1.0198,                 1.8323,               0.009802,               0.009802,               0.009802
                     22,                 1.0003,                0.54106,                 1.0502,                0.94014,                0.72684,                0.85108,                0.40089,                 1.8227,                0.95623,                 1.8604,              0.0097921,              0.0097921,              0.0097921
                     23,                0.99491,                0.54492,                 1.0457,                0.85595,                0.74909,                0.82655,                 0.3933,                 1.8174,                0.93857,                 1.8446,              0.0097822,              0.0097822,              0.0097822
                     24,                 1.0008,                 0.5387,                 1.0529,                 0.7808,                0.81112,                 0.8236,                0.39905,                 1.8069,                 1.0061,                 1.8354,              0.0097723,              0.0097723,              0.0097723
                     25,                 1.0219,                0.55914,                 1.0569,                0.90232,                0.83266,                0.88236,                0.42991,                 1.8397,                0.92685,                 1.8476,              0.0097624,              0.0097624,              0.0097624
                     26,                 1.0035,                0.55165,                  1.068,                0.88381,                0.84204,                0.88754,                0.42026,                 1.8224,                0.90624,                 1.8144,              0.0097525,              0.0097525,              0.0097525
                     27,                 1.0094,                0.54682,                 1.0612,                0.83014,                0.84686,                0.87207,                0.41225,                 1.8477,                0.93553,                 1.8726,              0.0097426,              0.0097426,              0.0097426
                     28,                 1.0114,                0.54505,                 1.0629,                0.85761,                0.78203,                 0.8334,                0.38775,                 1.8467,                0.93001,                 1.8863,              0.0097327,              0.0097327,              0.0097327
                     29,                  1.033,                0.55158,                 1.0674,                0.89481,                0.76326,                 0.8236,                0.38988,                 1.8157,                0.95437,                 1.8357,              0.0097228,              0.0097228,              0.0097228
                     30,                 1.0045,                0.54918,                 1.0453,                0.82639,                0.81491,                0.84764,                0.40484,                 1.8527,                0.92749,                 1.8682,              0.0097129,              0.0097129,              0.0097129
                     31,                 1.0144,                0.54359,                  1.048,                0.81856,                0.85335,                0.87501,                0.40745,                 1.8033,                0.88193,                 1.8111,               0.009703,               0.009703,               0.009703
                     32,                 1.0295,                0.54959,                 1.0605,                0.91379,                0.78236,                0.87106,                 0.4102,                 1.8401,                 1.0082,                 1.8394,              0.0096931,              0.0096931,              0.0096931
                     33,                 1.0145,                0.54918,                 1.0592,                0.90539,                 0.7574,                0.84619,                0.39383,                 1.8736,                0.94518,                 1.9106,              0.0096832,              0.0096832,              0.0096832
                     34,                 1.0055,                0.56078,                 1.0547,                 0.8583,                0.75515,                0.82075,                0.37779,                 1.8453,                0.95843,                 1.8567,              0.0096733,              0.0096733,              0.0096733
                     35,                 1.0143,                0.56952,                 1.0618,                0.87509,                0.74646,                0.81899,                  0.407,                 1.8282,                 0.9803,                 1.8403,              0.0096634,              0.0096634,              0.0096634
                     36,                0.98974,                 0.5467,                 1.0573,                0.90895,                0.78474,                0.86335,                0.40398,                 1.8238,                 0.9608,                 1.8337,              0.0096535,              0.0096535,              0.0096535
                     37,                 1.0108,                0.55078,                 1.0577,                 0.9103,                0.71245,                0.81321,                0.39703,                 1.8092,                 1.0096,                 1.8433,              0.0096436,              0.0096436,              0.0096436
                     38,                0.99179,                 0.5461,                 1.0539,                0.88227,                0.75837,                0.85254,                0.39112,                 1.7936,                 1.0061,                 1.8111,              0.0096337,              0.0096337,              0.0096337
