                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1953,                 4.4494,                    2.5,                0.03104,                0.08721,                0.01738,                0.00485,                 3.4064,                    inf,                 3.5849,               0.070278,              0.0033025,              0.0033025
                      2,                 3.0968,                 3.4912,                 2.4688,                0.20231,                0.01553,                0.00125,                0.00036,                 3.5652,                    inf,                 3.1182,               0.040271,              0.0066292,              0.0066292
                      3,                  3.001,                  3.396,                 2.3952,                0.66204,                0.08772,                0.04571,                0.01387,                 3.1301,                 8.0159,                 2.6559,               0.010258,              0.0099494,              0.0099494
                      4,                 2.9562,                 3.3549,                 2.3835,                 0.2367,                0.12833,                 0.0392,                0.01162,                 2.9992,                 14.833,                 2.5757,              0.0099703,              0.0099703,              0.0099703
                      5,                 2.8735,                 3.2128,                 2.3354,                0.48265,                0.05553,                0.02958,                 0.0085,                 2.9583,                 10.456,                 2.5473,              0.0099604,              0.0099604,              0.0099604
                      6,                 2.8367,                 3.1186,                 2.2699,                0.86293,                0.09029,                0.08784,                0.02923,                 2.8943,                 6.3309,                  2.481,              0.0099505,              0.0099505,              0.0099505
                      7,                 2.8474,                 3.0672,                 2.3162,                0.48888,                  0.173,                 0.0709,                0.02388,                 2.7868,                 4.5675,                 2.4225,              0.0099406,              0.0099406,              0.0099406
                      8,                 2.7966,                 2.9472,                 2.2753,                0.08245,                0.16121,                0.04889,                0.01742,                 2.8527,                 7.3763,                 2.3911,              0.0099307,              0.0099307,              0.0099307
                      9,                 2.7678,                 2.9059,                 2.2834,                0.36574,                 0.3015,                0.20909,                0.07981,                  2.608,                 2.8706,                 2.2908,              0.0099208,              0.0099208,              0.0099208
                     10,                 2.6711,                 2.7448,                  2.224,                0.42247,                0.17255,                0.16015,                0.05474,                 2.6305,                 3.2044,                 2.3034,              0.0099109,              0.0099109,              0.0099109
                     11,                  2.709,                 2.7551,                 2.2265,                0.45933,                0.20589,                0.21196,                0.07585,                 2.6946,                 2.9972,                  2.389,               0.009901,               0.009901,               0.009901
                     12,                 2.6854,                 2.6877,                 2.1943,                0.41614,                0.38101,                  0.259,                0.09791,                 2.5664,                 2.9156,                 2.2922,              0.0098911,              0.0098911,              0.0098911
                     13,                 2.6469,                 2.6808,                 2.1956,                0.40494,                0.19028,                 0.1455,                0.04579,                 2.7605,                 3.4122,                 2.3977,              0.0098812,              0.0098812,              0.0098812
                     14,                 2.6322,                 2.5492,                 2.1744,                0.26917,                0.30936,                0.21882,                0.07772,                 2.6391,                  3.393,                 2.3436,              0.0098713,              0.0098713,              0.0098713
                     15,                  2.641,                 2.4983,                 2.1743,                0.36404,                0.37582,                0.27102,                0.10959,                 2.5366,                 2.7354,                 2.2508,              0.0098614,              0.0098614,              0.0098614
                     16,                 2.5652,                 2.4502,                 2.1385,                0.36347,                0.29212,                  0.242,                0.08916,                 2.5308,                  2.716,                 2.2406,              0.0098515,              0.0098515,              0.0098515
                     17,                  2.575,                  2.408,                 2.1157,                0.46598,                0.27282,                0.25271,                0.09854,                 2.5358,                 2.8021,                 2.2375,              0.0098416,              0.0098416,              0.0098416
                     18,                 2.5419,                 2.3546,                 2.1122,                0.44691,                0.35791,                 0.3553,                0.14886,                 2.6301,                 2.4256,                 2.2955,              0.0098317,              0.0098317,              0.0098317
                     19,                 2.4891,                 2.2829,                 2.0977,                0.34692,                0.32336,                0.28029,                0.10665,                 2.7795,                 2.7194,                 2.4697,              0.0098218,              0.0098218,              0.0098218
                     20,                 2.4995,                 2.2753,                 2.1178,                0.36032,                0.37808,                0.32175,                0.11542,                 2.5392,                 2.6506,                 2.2222,              0.0098119,              0.0098119,              0.0098119
                     21,                 2.5364,                 2.1899,                  2.102,                0.58045,                0.47422,                0.50565,                0.20815,                   2.52,                 2.1305,                 2.2712,               0.009802,               0.009802,               0.009802
                     22,                 2.4839,                 2.1712,                 2.0753,                 0.5059,                0.44584,                0.42252,                 0.1761,                 2.3792,                 2.4057,                  2.114,              0.0097921,              0.0097921,              0.0097921
                     23,                 2.4515,                 2.1691,                 2.0531,                0.47023,                0.42981,                0.39834,                0.16229,                 2.4564,                 2.8779,                 2.1973,              0.0097822,              0.0097822,              0.0097822
                     24,                 2.4147,                 2.1172,                 2.0325,                0.57024,                0.41822,                0.47578,                0.20138,                 2.4478,                 2.0503,                 2.1649,              0.0097723,              0.0097723,              0.0097723
                     25,                 2.3992,                 2.0749,                 2.0343,                0.53331,                0.48503,                0.50063,                0.20528,                 2.4648,                 2.0075,                  2.213,              0.0097624,              0.0097624,              0.0097624
                     26,                 2.4426,                 2.0675,                 2.0602,                0.57058,                0.41952,                0.46375,                0.18782,                 2.5045,                 2.0685,                 2.1655,              0.0097525,              0.0097525,              0.0097525
                     27,                 2.4434,                 2.0424,                  2.025,                0.49722,                0.33756,                0.36218,                0.14551,                 2.5855,                 2.9691,                 2.2784,              0.0097426,              0.0097426,              0.0097426
                     28,                 2.4105,                 1.9757,                 2.0095,                0.62362,                0.49438,                0.55457,                0.23817,                 2.4007,                 1.8952,                 2.1352,              0.0097327,              0.0097327,              0.0097327
                     29,                  2.411,                 1.8823,                 1.9954,                0.59157,                0.47141,                0.55853,                0.25899,                 2.3412,                  1.868,                 2.1004,              0.0097228,              0.0097228,              0.0097228
                     30,                 2.3889,                 1.9129,                 1.9942,                0.51569,                0.59244,                0.54621,                0.22664,                 2.4038,                 2.2065,                 2.1715,              0.0097129,              0.0097129,              0.0097129
                     31,                 2.3585,                 1.8922,                 1.9644,                0.56512,                0.50647,                0.55795,                 0.2478,                 2.3348,                 2.0235,                 2.0874,               0.009703,               0.009703,               0.009703
                     32,                 2.3524,                 1.8589,                 1.9824,                0.64313,                0.53513,                0.58382,                0.26579,                 2.3756,                  1.795,                 2.1042,              0.0096931,              0.0096931,              0.0096931
                     33,                 2.3331,                 1.8105,                 1.9487,                0.67584,                0.51037,                0.61011,                0.26496,                 2.2986,                 1.9629,                  2.062,              0.0096832,              0.0096832,              0.0096832
                     34,                 2.3234,                  1.865,                 1.9595,                0.55441,                0.57017,                0.56943,                0.23429,                 2.3963,                 2.1225,                 2.1349,              0.0096733,              0.0096733,              0.0096733
                     35,                 2.3583,                 1.8769,                 1.9981,                0.55389,                0.56631,                0.59903,                0.25174,                 2.4107,                 1.7503,                 2.1147,              0.0096634,              0.0096634,              0.0096634
                     36,                  2.364,                 1.8698,                 1.9753,                0.72922,                0.59729,                0.68812,                0.32156,                 2.2931,                 1.7469,                 2.0403,              0.0096535,              0.0096535,              0.0096535
                     37,                 2.2949,                 1.7458,                 1.9371,                0.60019,                0.59602,                0.65149,                0.29251,                 2.3822,                 1.7884,                 2.1076,              0.0096436,              0.0096436,              0.0096436
                     38,                 2.2942,                 1.7499,                 1.9125,                 0.6871,                0.60766,                0.68787,                0.30627,                 2.3894,                 1.7284,                 2.1051,              0.0096337,              0.0096337,              0.0096337
                     39,                 2.2869,                 1.7204,                  1.908,                0.64225,                0.61081,                0.66754,                  0.272,                  2.384,                 1.7504,                  2.104,              0.0096238,              0.0096238,              0.0096238
                     40,                 2.2504,                 1.6692,                 1.8914,                 0.7586,                0.55916,                0.69604,                0.32745,                 2.2795,                 1.6384,                 2.0488,              0.0096139,              0.0096139,              0.0096139
                     41,                 2.2685,                 1.6683,                 1.8997,                0.74188,                0.67307,                0.74907,                0.33499,                 2.3254,                 1.5311,                 2.0833,               0.009604,               0.009604,               0.009604
                     42,                  2.219,                  1.662,                 1.9043,                0.73505,                0.64954,                0.72042,                0.32823,                 2.2511,                   1.65,                 2.0566,              0.0095941,              0.0095941,              0.0095941
                     43,                  2.271,                 1.6786,                  1.892,                0.59984,                0.57161,                0.53689,                 0.2586,                 2.3203,                 2.1614,                 2.0654,              0.0095842,              0.0095842,              0.0095842
                     44,                 2.2441,                 1.5937,                 1.8922,                0.69495,                0.56644,                0.63112,                0.27554,                 2.3891,                 1.7678,                 2.1276,              0.0095743,              0.0095743,              0.0095743
                     45,                 2.1963,                  1.536,                 1.8543,                0.80411,                0.65962,                0.77468,                0.36346,                  2.272,                 1.4099,                 2.0546,              0.0095644,              0.0095644,              0.0095644
                     46,                 2.2178,                 1.5597,                 1.8948,                0.77042,                 0.7116,                0.76541,                0.36063,                 2.2472,                 1.4203,                  1.999,              0.0095545,              0.0095545,              0.0095545
                     47,                   2.25,                 1.5599,                 1.8697,                0.79368,                0.64064,                0.75965,                0.36374,                 2.3016,                 1.5113,                 2.0372,              0.0095446,              0.0095446,              0.0095446
                     48,                 2.2037,                 1.5314,                 1.8799,                0.72231,                0.62145,                0.68618,                0.31604,                 2.2776,                 1.6031,                 2.0526,              0.0095347,              0.0095347,              0.0095347
                     49,                 2.2431,                 1.5228,                 1.8692,                0.77121,                0.68693,                 0.7517,                0.35997,                 2.2589,                 1.4841,                 2.0101,              0.0095248,              0.0095248,              0.0095248
                     50,                 2.1966,                 1.4712,                  1.815,                0.85307,                0.69394,                0.79186,                 0.3797,                 2.2429,                 1.4566,                 2.0399,              0.0095149,              0.0095149,              0.0095149
                     51,                 2.2123,                 1.5222,                 1.8511,                0.81114,                0.67455,                 0.7601,                0.34519,                  2.226,                  1.432,                  2.012,               0.009505,               0.009505,               0.009505
