                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4001,                 7.8254,                 2.1843,                0.00542,                0.42487,                0.08575,                0.02315,                 2.1617,                 5.4668,                 1.9253,              0.0032843,              0.0032843,              0.0032843
                      2,                 2.0777,                 5.5096,                 1.8172,                0.73367,                0.11829,                0.11193,                0.03858,                 2.1708,                 3.4791,                 1.8726,              0.0066111,              0.0066111,              0.0066111
                      3,                 2.0754,                 4.3185,                 1.7241,                0.65654,                0.13125,                0.14814,                0.04847,                 2.2072,                 3.7394,                 1.8843,              0.0099313,              0.0099313,              0.0099313
                      4,                 2.0462,                 3.4653,                 1.7227,                0.59462,                0.21641,                0.18413,                0.06529,                 2.1041,                 4.0906,                 1.8309,              0.0099703,              0.0099703,              0.0099703
                      5,                  2.015,                 2.7759,                 1.6718,                0.68072,                0.19877,                0.22901,                0.09585,                 2.1443,                 2.6746,                 1.9085,              0.0099604,              0.0099604,              0.0099604
                      6,                  1.997,                 2.3397,                 1.6462,                0.54525,                0.28179,                0.31007,                0.12031,                 2.0986,                 2.6935,                  1.847,              0.0099505,              0.0099505,              0.0099505
                      7,                 1.9408,                 2.1268,                 1.6095,                0.29725,                0.34564,                0.23745,                0.09296,                 2.1583,                 2.8272,                 2.0219,              0.0099406,              0.0099406,              0.0099406
                      8,                    1.9,                  1.917,                 1.5921,                0.61504,                0.33104,                0.42487,                0.17962,                  2.044,                 2.2866,                 1.8103,              0.0099307,              0.0099307,              0.0099307
                      9,                 1.8758,                 1.7326,                 1.5678,                0.65174,                0.57322,                0.64326,                0.26828,                 1.9385,                 1.8031,                 1.6835,              0.0099208,              0.0099208,              0.0099208
                     10,                 1.8595,                 1.6619,                 1.5615,                0.68118,                0.52922,                0.59915,                0.28088,                 1.9116,                  1.764,                 1.6923,              0.0099109,              0.0099109,              0.0099109
                     11,                 1.8051,                 1.5781,                  1.516,                0.69708,                0.67912,                0.72784,                0.34756,                 1.9077,                 1.4195,                 1.6708,               0.009901,               0.009901,               0.009901
                     12,                 1.8229,                 1.5078,                 1.5131,                0.65242,                0.59691,                0.64843,                0.29503,                 1.9075,                 1.5474,                 1.6949,              0.0098911,              0.0098911,              0.0098911
                     13,                 1.7807,                  1.472,                 1.5096,                0.70833,                0.64896,                0.72393,                0.31573,                 1.9153,                 1.4961,                 1.6329,              0.0098812,              0.0098812,              0.0098812
                     14,                 1.7705,                 1.3861,                  1.483,                0.78742,                0.70187,                0.76946,                0.34843,                  1.869,                 1.3377,                 1.6446,              0.0098713,              0.0098713,              0.0098713
                     15,                 1.7691,                 1.4115,                  1.495,                 0.7703,                0.57228,                0.68429,                0.30638,                 1.9418,                 1.6754,                  1.682,              0.0098614,              0.0098614,              0.0098614
                     16,                 1.7417,                 1.3269,                 1.4735,                0.81726,                0.65506,                0.73977,                0.36727,                 1.9224,                  1.418,                 1.6864,              0.0098515,              0.0098515,              0.0098515
                     17,                  1.742,                 1.2894,                 1.4583,                0.80571,                0.72876,                0.79263,                 0.3902,                 1.8428,                 1.2652,                 1.5922,              0.0098416,              0.0098416,              0.0098416
                     18,                 1.7167,                 1.2515,                 1.4414,                0.79322,                0.72539,                0.75768,                0.35355,                 1.8966,                 1.2559,                  1.655,              0.0098317,              0.0098317,              0.0098317
                     19,                 1.7283,                 1.2228,                 1.4617,                0.75359,                0.63346,                0.73243,                0.33998,                 1.8809,                 1.3797,                 1.6382,              0.0098218,              0.0098218,              0.0098218
                     20,                 1.7038,                 1.1992,                 1.4178,                0.79242,                0.62679,                0.74608,                0.36181,                 1.8767,                 1.3514,                  1.611,              0.0098119,              0.0098119,              0.0098119
                     21,                 1.6877,                 1.1852,                 1.4415,                0.83392,                0.75359,                0.81935,                0.40491,                 1.8595,                 1.2108,                 1.6137,               0.009802,               0.009802,               0.009802
                     22,                 1.6885,                 1.1514,                 1.4343,                0.79004,                0.74584,                0.80972,                0.40346,                 1.8488,                 1.1765,                 1.5948,              0.0097921,              0.0097921,              0.0097921
                     23,                  1.669,                 1.1602,                 1.4165,                0.81235,                0.73099,                0.80372,                0.38173,                 1.8476,                 1.1843,                  1.597,              0.0097822,              0.0097822,              0.0097822
                     24,                 1.6525,                 1.1144,                 1.4081,                0.75762,                 0.7142,                0.77397,                0.37544,                 1.8867,                 1.2419,                 1.6494,              0.0097723,              0.0097723,              0.0097723
                     25,                  1.651,                  1.116,                 1.4117,                0.82064,                0.76951,                0.82262,                0.42119,                 1.7645,                 1.1043,                 1.5315,              0.0097624,              0.0097624,              0.0097624
                     26,                 1.6436,                 1.0969,                 1.3999,                0.81164,                0.79119,                0.84806,                 0.4124,                 1.7885,                  1.052,                  1.567,              0.0097525,              0.0097525,              0.0097525
                     27,                 1.6253,                 1.0855,                 1.4021,                0.87002,                0.76227,                0.84932,                0.43675,                 1.7549,                 1.0518,                 1.5518,              0.0097426,              0.0097426,              0.0097426
                     28,                 1.6186,                 1.0548,                 1.3985,                0.83601,                0.76999,                0.85048,                0.42265,                 1.8118,                 1.0652,                 1.5751,              0.0097327,              0.0097327,              0.0097327
                     29,                 1.6072,                 1.0398,                 1.3763,                0.80182,                0.75942,                0.84839,                0.43779,                 1.7186,                 1.0033,                 1.5341,              0.0097228,              0.0097228,              0.0097228
                     30,                 1.6242,                 1.0525,                 1.3817,                0.87766,                0.77507,                0.88013,                0.44592,                 1.7114,                0.98524,                 1.5182,              0.0097129,              0.0097129,              0.0097129
                     31,                 1.6046,                 1.0283,                 1.3895,                0.82927,                0.77461,                0.84894,                0.44972,                 1.7535,                 1.0908,                  1.543,               0.009703,               0.009703,               0.009703
                     32,                 1.5942,                 1.0211,                 1.3725,                0.87848,                0.80581,                0.86008,                0.44179,                 1.7615,                0.97277,                 1.5582,              0.0096931,              0.0096931,              0.0096931
                     33,                 1.5844,                0.99627,                 1.3742,                0.77746,                 0.7179,                0.78479,                 0.3813,                 1.8306,                 1.2666,                 1.6249,              0.0096832,              0.0096832,              0.0096832
                     34,                 1.5966,                 1.0172,                 1.3824,                0.83858,                0.81419,                0.86426,                0.43399,                  1.731,                 1.0707,                 1.5334,              0.0096733,              0.0096733,              0.0096733
                     35,                 1.5671,                0.99359,                 1.3541,                0.86342,                0.77879,                0.87004,                0.44028,                 1.7495,                 1.0474,                 1.5666,              0.0096634,              0.0096634,              0.0096634
                     36,                 1.5614,                0.98813,                 1.3524,                0.79791,                 0.7367,                0.80277,                0.41268,                 1.7274,                 1.0382,                 1.5443,              0.0096535,              0.0096535,              0.0096535
                     37,                 1.5599,                0.96632,                 1.3493,                0.87458,                0.82917,                0.88281,                0.46807,                 1.6868,                 0.9707,                 1.4849,              0.0096436,              0.0096436,              0.0096436
                     38,                  1.556,                0.94276,                 1.3442,                0.85382,                0.79044,                 0.8638,                0.44314,                 1.7226,                0.99295,                 1.5182,              0.0096337,              0.0096337,              0.0096337
                     39,                  1.566,                0.95966,                 1.3502,                0.77661,                0.82645,                0.84571,                0.42295,                  1.755,                0.98018,                 1.5312,              0.0096238,              0.0096238,              0.0096238
                     40,                 1.5449,                0.95122,                 1.3309,                0.88005,                0.78596,                0.86056,                0.45364,                 1.6784,                0.91796,                  1.498,              0.0096139,              0.0096139,              0.0096139
                     41,                 1.5389,                0.94517,                 1.3243,                0.88864,                0.77559,                0.88645,                0.45534,                 1.7022,                0.96159,                 1.4992,               0.009604,               0.009604,               0.009604
                     42,                 1.5316,                0.92437,                  1.334,                0.90332,                0.83144,                 0.8924,                0.46341,                 1.7034,                 0.9149,                 1.5039,              0.0095941,              0.0095941,              0.0095941
                     43,                 1.5412,                0.93704,                 1.3275,                0.87015,                0.85795,                0.90102,                0.45843,                 1.6809,                 0.9073,                 1.5028,              0.0095842,              0.0095842,              0.0095842
                     44,                 1.5199,                0.92816,                 1.3184,                  0.866,                0.86273,                0.90248,                0.45744,                 1.6833,                0.93264,                 1.4988,              0.0095743,              0.0095743,              0.0095743
                     45,                 1.5164,                 0.9023,                 1.3239,                0.90696,                0.83177,                0.90213,                0.46441,                 1.7073,                0.90664,                 1.5186,              0.0095644,              0.0095644,              0.0095644
                     46,                 1.5209,                0.92226,                 1.3086,                0.84907,                 0.8169,                0.89161,                0.43918,                 1.7226,                0.94057,                 1.5145,              0.0095545,              0.0095545,              0.0095545
                     47,                 1.5095,                0.90586,                  1.313,                0.84143,                0.81197,                 0.8704,                0.44407,                 1.7434,                0.99372,                 1.5473,              0.0095446,              0.0095446,              0.0095446
                     48,                 1.4981,                0.88517,                 1.3098,                0.85391,                0.81958,                0.87156,                0.45312,                 1.6938,                0.93983,                 1.5146,              0.0095347,              0.0095347,              0.0095347
                     49,                 1.4921,                 0.8768,                 1.3023,                 0.8904,                0.78173,                0.88624,                0.46032,                 1.6774,                0.89133,                 1.4882,              0.0095248,              0.0095248,              0.0095248
                     50,                 1.4761,                0.87975,                 1.2918,                 0.8637,                0.85132,                0.89555,                0.46973,                 1.6395,                0.89807,                 1.4824,              0.0095149,              0.0095149,              0.0095149
                     51,                 1.5008,                 0.8778,                 1.3113,                0.89291,                0.78326,                0.85122,                0.44034,                 1.7849,                 1.0574,                 1.5884,               0.009505,               0.009505,               0.009505
                     52,                 1.4959,                0.88404,                 1.3078,                0.87582,                0.82258,                0.89599,                0.45181,                 1.7005,                0.88194,                 1.5153,              0.0094951,              0.0094951,              0.0094951
                     53,                 1.4769,                0.86976,                 1.2984,                 0.8606,                0.81434,                0.86535,                0.47925,                 1.6476,                0.87395,                 1.4732,              0.0094852,              0.0094852,              0.0094852
                     54,                 1.4838,                0.87244,                 1.3117,                 0.8296,                0.82036,                0.86369,                0.45205,                 1.7022,                  0.978,                 1.5114,              0.0094753,              0.0094753,              0.0094753
                     55,                 1.4516,                0.84227,                 1.2848,                0.86462,                0.85216,                0.88882,                0.47124,                 1.6467,                0.89065,                 1.4979,              0.0094654,              0.0094654,              0.0094654
                     56,                 1.4448,                0.84192,                 1.2733,                0.86315,                  0.836,                0.88831,                0.45746,                  1.654,                0.84672,                 1.4865,              0.0094555,              0.0094555,              0.0094555
                     57,                 1.4493,                0.84842,                 1.2811,                0.89905,                0.83565,                0.90895,                0.49922,                 1.6341,                0.81157,                 1.4749,              0.0094456,              0.0094456,              0.0094456
                     58,                 1.4491,                 0.8364,                 1.2881,                0.93311,                 0.8362,                0.91918,                0.49858,                 1.6433,                0.85248,                 1.4858,              0.0094357,              0.0094357,              0.0094357
