                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.232,                 4.6675,                 2.1891,                0.15909,                0.04575,                0.03918,                 0.0087,                 3.4518,                    inf,                 3.6896,                 0.0739,                 0.0029,                 0.0029
                      2,                  3.047,                 2.4441,                 2.0866,                0.00315,                0.22876,                0.00208,                 0.0008,                 3.2875,                    inf,                 13.411,               0.046894,              0.0058942,              0.0058942
                      3,                 2.9421,                 2.2627,                 1.9822,                0.00477,                0.34641,                0.00322,                0.00108,                 3.4254,                    inf,                 4.6746,               0.019882,              0.0088824,              0.0088824
                      4,                 2.9343,                 2.2584,                 2.0031,                0.12736,                0.10458,                0.02807,                0.00697,                 3.9691,                 68.818,                 3.6116,              0.0099703,              0.0099703,              0.0099703
                      5,                 2.8768,                  2.118,                 1.9823,                0.04283,                0.27451,                0.04201,                 0.0123,                 3.0151,                  54.82,                 2.4369,              0.0099604,              0.0099604,              0.0099604
                      6,                 2.8462,                 1.9584,                 1.9777,                0.16067,                0.24183,                0.12062,                0.03677,                  3.008,                 7.4399,                 2.4685,              0.0099505,              0.0099505,              0.0099505
                      7,                 2.8314,                  1.916,                  1.947,                0.07354,                0.30719,                0.09653,                0.03271,                 2.7745,                 41.669,                 2.0612,              0.0099406,              0.0099406,              0.0099406
                      8,                 2.7511,                 1.8543,                 1.9109,                0.22065,                 0.4183,                0.18568,                0.05765,                  2.734,                 5.2754,                 2.0509,              0.0099307,              0.0099307,              0.0099307
                      9,                 2.7259,                 1.8567,                  1.884,                0.27554,                0.34641,                0.18724,                0.06139,                 2.8752,                 3.1917,                 2.1065,              0.0099208,              0.0099208,              0.0099208
                     10,                 2.6535,                 1.8363,                 1.8687,                0.37949,                0.33578,                0.26064,                0.08017,                 2.7689,                 2.6759,                  2.096,              0.0099109,              0.0099109,              0.0099109
                     11,                 2.7434,                 1.7959,                 1.8919,                0.46396,                0.47712,                0.41725,                0.13254,                 2.5373,                 4.2551,                 1.9059,               0.009901,               0.009901,               0.009901
                     12,                 2.6909,                  1.743,                 1.8913,                0.39564,                0.45752,                0.37148,                0.13098,                 2.5598,                 3.5979,                 1.8887,              0.0098911,              0.0098911,              0.0098911
                     13,                 2.6617,                 1.7638,                 1.8322,                0.49573,                0.52941,                0.46725,                0.16255,                 2.6481,                 3.2158,                 1.8978,              0.0098812,              0.0098812,              0.0098812
                     14,                 2.6723,                 1.8091,                 1.8919,                 0.4427,                0.52288,                0.42252,                0.14362,                 2.5205,                 2.6635,                 1.8916,              0.0098713,              0.0098713,              0.0098713
                     15,                 2.6274,                 1.7056,                 1.8366,                0.49082,                0.56704,                0.49898,                0.14502,                   2.62,                 3.2346,                 1.9271,              0.0098614,              0.0098614,              0.0098614
                     16,                 2.6133,                 1.6314,                 1.8701,                0.45073,                0.57516,                0.46847,                0.14273,                 2.5821,                 2.0992,                 1.9748,              0.0098515,              0.0098515,              0.0098515
                     17,                 2.5912,                 1.5776,                 1.7984,                0.59681,                0.59016,                0.58721,                0.20573,                 2.5482,                 1.9061,                 1.8644,              0.0098416,              0.0098416,              0.0098416
                     18,                 2.5934,                 1.5848,                 1.8373,                0.61164,                0.51634,                0.57211,                0.19597,                  2.568,                 1.7239,                 1.9223,              0.0098317,              0.0098317,              0.0098317
                     19,                 2.5473,                 1.5866,                 1.7972,                0.53642,                0.56209,                0.53188,                0.17297,                 2.7143,                 1.9005,                 1.9765,              0.0098218,              0.0098218,              0.0098218
                     20,                 2.5131,                 1.5698,                  1.781,                0.65986,                0.50327,                0.56269,                0.19498,                 2.4682,                 2.0134,                 1.8663,              0.0098119,              0.0098119,              0.0098119
                     21,                    2.5,                 1.5124,                 1.7964,                0.58452,                0.56092,                0.56123,                0.21301,                 2.4815,                 1.7448,                  1.879,               0.009802,               0.009802,               0.009802
                     22,                 2.5159,                 1.4929,                 1.7953,                0.65112,                0.63399,                0.62127,                0.23572,                 2.4442,                 1.5926,                 1.8737,              0.0097921,              0.0097921,              0.0097921
                     23,                 2.4463,                 1.4225,                  1.741,                0.66378,                0.62092,                0.59922,                0.21691,                 2.5395,                 1.5772,                 1.9278,              0.0097822,              0.0097822,              0.0097822
                     24,                 2.5015,                 1.3995,                 1.7748,                0.69421,                0.56863,                0.66288,                0.25063,                 2.5259,                 1.4842,                 1.8903,              0.0097723,              0.0097723,              0.0097723
                     25,                 2.4306,                  1.445,                 1.7423,                0.67898,                0.60784,                0.65257,                0.23841,                 2.4605,                 1.6461,                 1.8794,              0.0097624,              0.0097624,              0.0097624
                     26,                  2.397,                 1.3873,                 1.7187,                0.58482,                 0.5817,                0.53174,                0.20449,                 2.4983,                  1.934,                 1.9395,              0.0097525,              0.0097525,              0.0097525
                     27,                 2.4595,                 1.3918,                 1.7624,                0.66336,                0.55381,                0.61472,                0.21944,                 2.5467,                 1.8275,                 1.9248,              0.0097426,              0.0097426,              0.0097426
                     28,                    2.4,                 1.3532,                 1.7192,                0.66248,                0.67992,                0.68727,                0.26065,                 2.5281,                  1.812,                 1.9205,              0.0097327,              0.0097327,              0.0097327
                     29,                 2.4786,                 1.4183,                 1.7627,                 0.5651,                0.70588,                0.61818,                0.23299,                 2.4647,                 1.8162,                 1.9131,              0.0097228,              0.0097228,              0.0097228
                     30,                 2.4384,                 1.3561,                 1.7452,                0.69418,                0.69935,                0.70782,                0.26558,                 2.3628,                 1.7153,                   1.83,              0.0097129,              0.0097129,              0.0097129
                     31,                 2.3758,                 1.3222,                 1.7082,                0.65265,                0.65359,                0.66352,                0.25997,                 2.4012,                 1.5215,                 1.8401,               0.009703,               0.009703,               0.009703
                     32,                 2.4467,                 1.3614,                 1.7438,                0.64423,                0.65096,                0.65226,                0.25102,                 2.4827,                 1.4748,                 1.8587,              0.0096931,              0.0096931,              0.0096931
                     33,                 2.4211,                 1.3044,                 1.7251,                0.51304,                0.65359,                 0.5883,                0.22853,                 2.4655,                 1.5764,                 1.8866,              0.0096832,              0.0096832,              0.0096832
                     34,                  2.387,                 1.3296,                 1.7053,                0.67297,                0.64706,                0.65972,                0.23974,                  2.471,                 1.7056,                  1.871,              0.0096733,              0.0096733,              0.0096733
                     35,                 2.3891,                 1.2991,                 1.7241,                0.68758,                0.73362,                0.71107,                0.26243,                 2.4027,                 1.7086,                 1.8574,              0.0096634,              0.0096634,              0.0096634
                     36,                 2.3893,                 1.3112,                 1.7125,                0.79586,                0.69935,                0.75853,                0.29344,                 2.3955,                 1.4183,                 1.8219,              0.0096535,              0.0096535,              0.0096535
                     37,                 2.3743,                 1.2651,                 1.7299,                0.78095,                0.67974,                0.75167,                0.28475,                 2.5015,                 1.4153,                 1.8946,              0.0096436,              0.0096436,              0.0096436
                     38,                 2.3418,                 1.2538,                 1.6626,                0.70889,                0.68627,                0.73332,                0.28448,                 2.4512,                 1.2892,                 1.8386,              0.0096337,              0.0096337,              0.0096337
                     39,                 2.3406,                  1.267,                 1.6989,                0.72777,                0.66667,                 0.7001,                0.27355,                 2.4547,                 1.4189,                 1.8885,              0.0096238,              0.0096238,              0.0096238
                     40,                 2.3537,                 1.2943,                 1.7057,                0.62298,                0.55556,                0.51209,                0.16075,                 2.6909,                 2.1774,                  1.983,              0.0096139,              0.0096139,              0.0096139
                     41,                 2.3066,                 1.2435,                 1.6606,                0.62225,                0.67974,                0.62359,                0.22308,                 2.5307,                 1.9341,                 1.9134,               0.009604,               0.009604,               0.009604
                     42,                 2.3549,                 1.1692,                 1.6865,                0.70302,                0.73203,                0.74154,                0.29557,                 2.3912,                 1.5406,                 1.8395,              0.0095941,              0.0095941,              0.0095941
                     43,                 2.3358,                 1.2072,                 1.6599,                0.67103,                0.66667,                 0.6845,                0.28703,                 2.4123,                 1.3106,                  1.847,              0.0095842,              0.0095842,              0.0095842
                     44,                 2.3356,                 1.2016,                 1.6842,                0.50651,                0.56863,                0.46368,                0.17793,                 2.6494,                 1.6277,                 2.0219,              0.0095743,              0.0095743,              0.0095743
                     45,                  2.331,                 1.2069,                 1.7155,                0.71266,                0.62092,                0.63773,                0.24318,                 2.5206,                 1.4812,                 1.8836,              0.0095644,              0.0095644,              0.0095644
                     46,                  2.283,                 1.1941,                 1.6561,                0.75632,                0.73032,                0.75045,                0.29697,                 2.4439,                 1.3487,                  1.864,              0.0095545,              0.0095545,              0.0095545
                     47,                 2.2931,                 1.1835,                 1.6779,                0.76148,                0.75118,                0.73026,                0.29067,                 2.4491,                 1.2933,                 1.8208,              0.0095446,              0.0095446,              0.0095446
                     48,                  2.279,                 1.1917,                  1.651,                0.65397,                0.64052,                0.63732,                0.21832,                  2.541,                 1.4412,                 1.9927,              0.0095347,              0.0095347,              0.0095347
                     49,                 2.3471,                 1.1748,                 1.7201,                0.69056,                 0.6732,                0.69567,                0.26135,                  2.375,                 1.5478,                  1.851,              0.0095248,              0.0095248,              0.0095248
                     50,                 2.2876,                 1.1956,                 1.6779,                0.72215,                0.69935,                0.70844,                0.28747,                 2.3312,                 1.3374,                 1.7979,              0.0095149,              0.0095149,              0.0095149
                     51,                 2.2763,                 1.1801,                 1.6599,                0.71873,                0.60784,                0.67311,                 0.2593,                 2.4588,                 1.4617,                 1.8566,               0.009505,               0.009505,               0.009505
                     52,                  2.282,                 1.1293,                 1.6221,                0.51496,                0.50657,                0.51126,                0.18899,                 2.6159,                 1.8383,                 1.9494,              0.0094951,              0.0094951,              0.0094951
                     53,                 2.2683,                 1.1394,                  1.662,                0.68174,                0.64706,                0.69942,                0.26098,                 2.4949,                 1.4776,                 1.8723,              0.0094852,              0.0094852,              0.0094852
                     54,                 2.2898,                 1.1698,                 1.6788,                0.80282,                0.66529,                0.74894,                0.28644,                 2.4409,                 1.3051,                 1.8463,              0.0094753,              0.0094753,              0.0094753
                     55,                 2.2838,                 1.1499,                 1.6585,                0.74978,                0.71242,                0.77214,                0.30235,                   2.45,                 1.3617,                 1.8577,              0.0094654,              0.0094654,              0.0094654
                     56,                  2.244,                 1.1093,                 1.6461,                0.61443,                0.65359,                0.64485,                0.23024,                 2.5993,                 1.4411,                 1.9512,              0.0094555,              0.0094555,              0.0094555
                     57,                  2.227,                 1.0959,                 1.6215,                0.72537,                0.77778,                0.71248,                0.29029,                  2.354,                 1.2981,                 1.8186,              0.0094456,              0.0094456,              0.0094456
                     58,                 2.2465,                 1.0794,                  1.651,                0.77243,                0.79867,                 0.8192,                0.33486,                 2.3903,                 1.1454,                 1.8195,              0.0094357,              0.0094357,              0.0094357
                     59,                 2.2268,                 1.0709,                 1.6206,                0.79805,                0.76471,                0.76928,                0.32247,                 2.3301,                 1.2421,                 1.7886,              0.0094258,              0.0094258,              0.0094258
                     60,                 2.2576,                 1.0702,                 1.6309,                0.63722,                0.74623,                0.69419,                0.25521,                 2.4191,                 1.7462,                 1.8171,              0.0094159,              0.0094159,              0.0094159
                     61,                 2.2285,                 1.0805,                  1.619,                0.75043,                0.59477,                0.66612,                0.25088,                 2.5817,                 1.3121,                 1.9187,               0.009406,               0.009406,               0.009406
                     62,                 2.2141,                 1.0846,                 1.6371,                0.82792,                0.75472,                  0.813,                0.34077,                  2.446,                 1.1148,                  1.846,              0.0093961,              0.0093961,              0.0093961
                     63,                 2.2579,                 1.0658,                 1.6372,                0.79753,                0.73203,                0.76965,                0.29943,                 2.5395,                 1.2308,                  1.904,              0.0093862,              0.0093862,              0.0093862
                     64,                  2.231,                 1.0481,                 1.6205,                0.73307,                0.75817,                0.78004,                0.31993,                 2.4191,                 1.1941,                 1.8366,              0.0093763,              0.0093763,              0.0093763
                     65,                 2.2462,                 1.0881,                 1.6184,                0.67205,                0.72549,                0.75162,                0.28396,                 2.4634,                 1.3725,                 1.8651,              0.0093664,              0.0093664,              0.0093664
                     66,                  2.238,                  1.096,                 1.6335,                0.73056,                0.73856,                0.75564,                0.31837,                 2.3867,                 1.1948,                 1.8265,              0.0093565,              0.0093565,              0.0093565
                     67,                  2.241,                 1.0463,                 1.6634,                0.77892,                0.78431,                0.78176,                0.31189,                 2.4317,                 1.1602,                  1.865,              0.0093466,              0.0093466,              0.0093466
                     68,                 2.2493,                 1.1204,                 1.6235,                0.71077,                0.78704,                0.78912,                0.33469,                 2.2769,                 1.1529,                 1.7638,              0.0093367,              0.0093367,              0.0093367
                     69,                 2.2065,                 1.0885,                 1.6367,                0.81182,                0.76131,                0.79896,                0.32386,                  2.398,                 1.1462,                 1.8814,              0.0093268,              0.0093268,              0.0093268
                     70,                 2.2098,                  1.051,                 1.6399,                0.77061,                0.80392,                0.80562,                 0.3411,                 2.3818,                 1.1054,                 1.8104,              0.0093169,              0.0093169,              0.0093169
                     71,                  2.175,                 1.0419,                 1.5843,                0.76657,                0.79417,                0.79424,                0.32228,                 2.3671,                 1.1246,                 1.8764,               0.009307,               0.009307,               0.009307
                     72,                 2.2151,                 1.0132,                  1.653,                0.85167,                0.78431,                0.83188,                 0.3261,                  2.454,                 1.0317,                 1.8802,              0.0092971,              0.0092971,              0.0092971
                     73,                 2.1466,                 1.0036,                 1.5927,                0.80995,                0.73203,                0.78358,                 0.3199,                 2.3548,                 1.1417,                 1.8169,              0.0092872,              0.0092872,              0.0092872
                     74,                  2.178,                 0.9948,                 1.6068,                0.73889,                0.77682,                 0.7944,                0.32492,                 2.4185,                 1.1684,                 1.8562,              0.0092773,              0.0092773,              0.0092773
                     75,                  2.198,                 1.0067,                  1.606,                0.79977,                0.73098,                0.76223,                0.32081,                 2.4066,                  1.035,                 1.8427,              0.0092674,              0.0092674,              0.0092674
                     76,                 2.2125,                 1.0091,                 1.6292,                0.83631,                0.71242,                0.79721,                0.32916,                 2.4558,                  1.008,                 1.8617,              0.0092575,              0.0092575,              0.0092575
                     77,                 2.1651,                 1.0304,                 1.5857,                0.77157,                0.75817,                0.76598,                0.29878,                  2.497,                 1.1397,                 1.8905,              0.0092476,              0.0092476,              0.0092476
