                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0162,                 4.9934,                 2.7424,                0.00064,                0.13333,                0.00038,                  8e-05,                 4.4773,                    inf,                 49.148,               0.070492,              0.0032787,              0.0032787
                      2,                 3.0346,                 3.5996,                 2.7306,                0.00069,                0.12381,                0.00039,                 0.0001,                 4.6288,                 193.17,                 8.1489,               0.040485,              0.0066055,              0.0066055
                      3,                  2.988,                 3.4358,                 2.6529,                 0.0014,                0.00952,                0.00075,                0.00017,                 3.6168,                  82.98,                 5.6031,               0.010472,              0.0099257,              0.0099257
                      4,                 2.8862,                 3.3369,                 2.6063,                0.00488,                0.24762,                0.00363,                0.00101,                 3.1596,                 29.424,                 3.0555,              0.0099703,              0.0099703,              0.0099703
                      5,                   2.85,                 3.2118,                 2.5739,                0.04014,                0.08571,                0.01471,                0.00361,                 3.0301,                  18.16,                 2.9018,              0.0099604,              0.0099604,              0.0099604
                      6,                  2.825,                 3.1398,                 2.5146,                0.08666,                0.14286,                0.02941,                0.00652,                 2.9037,                 25.401,                 2.8556,              0.0099505,              0.0099505,              0.0099505
                      7,                 2.7338,                 3.0593,                  2.467,                 0.1381,                0.15238,                0.05568,                0.01642,                  2.615,                  6.854,                 2.5701,              0.0099406,              0.0099406,              0.0099406
                      8,                 2.6691,                 2.9102,                 2.4182,                0.15221,                0.12381,                0.04498,                 0.0125,                 3.3587,                  11.39,                 3.2024,              0.0099307,              0.0099307,              0.0099307
                      9,                 2.6635,                 2.9175,                 2.4241,                0.02483,                0.14286,                0.01027,                0.00277,                 3.3092,                 3.9851,                 3.0713,              0.0099208,              0.0099208,              0.0099208
                     10,                 2.6784,                 2.8644,                 2.4279,                0.09321,                0.17143,                0.05714,                0.01885,                 3.0212,                 3.2428,                 2.8477,              0.0099109,              0.0099109,              0.0099109
                     11,                 2.5863,                 2.8054,                 2.3508,                0.02579,                0.06667,                0.00602,                0.00209,                 2.8177,                 7.5324,                 2.6294,               0.009901,               0.009901,               0.009901
                     12,                 2.5545,                 2.7125,                 2.2983,                0.19297,                0.17143,                0.11499,                0.02735,                 2.7606,                 3.1515,                 2.6931,              0.0098911,              0.0098911,              0.0098911
