                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.6657,                 9.2493,                 2.6242,                      0,                      0,                      0,                      0,                 4.7954,                 10.934,                 12.905,                 0.0793,                 0.0023,                 0.0023
                      2,                 3.4472,                 4.2091,                 2.5559,                      0,                      0,                      0,                      0,                 5.7626,                    inf,                 235.76,               0.057695,              0.0046953,              0.0046953
                      3,                 3.5065,                 4.0747,                 2.5736,                0.00035,                0.04444,                0.00019,                  5e-05,                  4.865,                    inf,                  28.95,               0.036086,              0.0070859,              0.0070859
                      4,                 3.4306,                  3.999,                 2.6198,                0.00035,                0.04444,                0.00019,                  5e-05,                 4.3829,                    inf,                 26.517,               0.014472,              0.0094718,              0.0094718
                      5,                 3.3599,                 3.6889,                 2.5185,                0.00035,                0.04444,                0.00019,                  5e-05,                 4.9633,                    inf,                 8.0033,              0.0099604,              0.0099604,              0.0099604
                      6,                 3.2407,                 3.6374,                 2.4507,                0.00192,                0.11111,                0.00076,                0.00019,                 4.2839,                    inf,                 8.2625,              0.0099505,              0.0099505,              0.0099505
                      7,                 3.1489,                 3.5522,                 2.4512,                0.00022,                0.04444,                0.00014,                  3e-05,                 4.1881,                    inf,                  8.193,              0.0099406,              0.0099406,              0.0099406
                      8,                 3.1525,                 3.4745,                 2.4597,                0.00022,                0.04444,                0.00014,                  3e-05,                 4.7298,                    inf,                 7.0079,              0.0099307,              0.0099307,              0.0099307
                      9,                  3.045,                 3.3043,                 2.3309,                0.00136,                    0.2,                0.00091,                 0.0004,                 3.7349,                    inf,                 3.2416,              0.0099208,              0.0099208,              0.0099208
                     10,                 3.0118,                 3.2956,                 2.3728,                0.07916,                0.13333,                0.05865,                0.03219,                  3.522,                   59.1,                 2.9855,              0.0099109,              0.0099109,              0.0099109
                     11,                 2.9965,                 3.2165,                 2.4091,                    0.5,                0.02222,                0.02503,                0.00551,                  3.692,                 126.32,                 2.9102,               0.009901,               0.009901,               0.009901
                     12,                 3.0334,                 3.1214,                 2.3455,                0.06908,                0.11111,                0.04222,                0.01677,                  3.533,                 30.343,                 2.9197,              0.0098911,              0.0098911,              0.0098911
                     13,                 3.0663,                 3.0993,                 2.4342,                0.08775,                0.13333,                0.02773,                0.00998,                 3.3783,                 11.649,                 2.8539,              0.0098812,              0.0098812,              0.0098812
