                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3911,                  12.22,                 2.7193,                      0,                      0,                      0,                      0,                 3.6195,                 5.5495,                 4.6328,                 0.0892,                 0.0012,                 0.0012
                      2,                 3.2938,                 4.6343,                 2.7811,                      0,                      0,                      0,                      0,                 4.4818,                    inf,                 20.156,               0.077498,              0.0024975,              0.0024975
                      3,                 3.2488,                  4.228,                 2.7374,                0.00108,                0.21053,                0.00087,                0.00016,                  4.881,                    inf,                 43.919,               0.065792,              0.0037925,              0.0037925
                      4,                  3.442,                 3.8277,                 2.9674,                0.00063,                0.15789,                0.00399,                0.00134,                 4.0352,                    inf,                 29.577,               0.054085,              0.0050849,              0.0050849
                      5,                 3.4152,                 3.5583,                  2.811,                0.00063,                0.15789,                0.00399,                0.00134,                 4.5716,                    inf,                 38.956,               0.042375,              0.0063747,              0.0063747
                      6,                 3.3488,                 3.5498,                 2.8061,                0.00063,                0.15789,                0.00399,                0.00134,                 4.4255,                    inf,                 53.327,               0.030662,              0.0076619,              0.0076619
                      7,                 3.5393,                 3.5983,                  2.982,                0.00063,                0.15789,                0.00399,                0.00134,                 5.0733,                    inf,                 96.032,               0.018947,              0.0089465,              0.0089465
                      8,                 3.3733,                  3.577,                 2.8168,                0.00063,                0.15789,                0.00399,                0.00134,                 4.5617,                    inf,                 83.573,              0.0099307,              0.0099307,              0.0099307
                      9,                 3.3435,                 3.2806,                 2.8146,                0.00063,                0.15789,                0.00399,                0.00134,                 4.7031,                    inf,                  67.16,              0.0099208,              0.0099208,              0.0099208
                     10,                 3.1386,                 3.0213,                 2.6578,                0.00042,                0.10526,                0.00035,                  4e-05,                 5.6734,                    inf,                 19.434,              0.0099109,              0.0099109,              0.0099109
                     11,                 3.1635,                 2.9334,                 2.6725,                0.00063,                0.15789,                0.00047,                  7e-05,                 4.5957,                    inf,                 9.8873,               0.009901,               0.009901,               0.009901
                     12,                 3.1845,                 2.8168,                  2.665,                0.00063,                0.15789,                0.00047,                  7e-05,                 4.9384,                    inf,                 7.3483,              0.0098911,              0.0098911,              0.0098911
                     13,                 3.1821,                 2.8082,                 2.7304,                0.00063,                0.15789,                0.00047,                  7e-05,                 5.6675,                    inf,                 13.497,              0.0098812,              0.0098812,              0.0098812
                     14,                 3.0857,                 2.7498,                 2.6173,                0.00021,                0.05263,                0.00012,                  7e-05,                 4.9165,                    inf,                 5.5277,              0.0098713,              0.0098713,              0.0098713
                     15,                 3.0596,                  2.716,                 2.6555,                0.00021,                0.05263,                0.00012,                  7e-05,                 4.5255,                    inf,                 5.2932,              0.0098614,              0.0098614,              0.0098614
                     16,                 3.2228,                 2.6356,                 2.6272,                0.00339,                0.21053,                0.00158,                0.00041,                 4.0606,                    inf,                 3.9927,              0.0098515,              0.0098515,              0.0098515
                     17,                 3.1012,                 2.6513,                 2.6009,                0.00738,                0.21053,                0.00894,                0.00212,                 3.8933,                 207.74,                 3.6782,              0.0098416,              0.0098416,              0.0098416
                     18,                  3.099,                 2.7305,                 2.6024,                    0.2,                0.21053,                0.11152,                0.01614,                 3.5226,                 152.77,                 2.6335,              0.0098317,              0.0098317,              0.0098317
                     19,                 3.1871,                 2.6206,                 2.6612,                0.01458,                0.10526,                0.01851,                0.00624,                 3.8883,                 60.006,                 3.0232,              0.0098218,              0.0098218,              0.0098218
                     20,                 3.0143,                  2.458,                  2.555,                      1,                0.05263,                0.08163,                 0.0356,                 3.6148,                 93.773,                 2.9618,              0.0098119,              0.0098119,              0.0098119
                     21,                  3.052,                 2.5027,                  2.601,                0.11674,                0.31579,                0.06831,                0.01613,                 3.3932,                 36.084,                 2.8782,               0.009802,               0.009802,               0.009802
                     22,                 2.9057,                  2.221,                  2.507,                0.21567,                0.21053,                0.16688,                0.04492,                 3.4518,                 17.928,                 2.9804,              0.0097921,              0.0097921,              0.0097921
                     23,                 2.9453,                 2.3276,                 2.5521,                0.24288,                0.26316,                0.16107,                0.04762,                  3.479,                 13.205,                   2.89,              0.0097822,              0.0097822,              0.0097822
                     24,                 3.0031,                 2.4007,                 2.5407,                0.19238,                0.26316,                0.16656,                0.03272,                 3.4969,                  28.83,                  3.039,              0.0097723,              0.0097723,              0.0097723
                     25,                 3.0052,                 2.3359,                 2.5167,                0.05138,                0.21053,                0.08752,                0.02346,                 3.4064,                    inf,                 2.7654,              0.0097624,              0.0097624,              0.0097624
                     26,                 2.9234,                  2.301,                 2.5257,                0.14445,                0.10526,                0.06103,                0.02675,                 3.5784,                 23.983,                 2.8148,              0.0097525,              0.0097525,              0.0097525
                     27,                 2.8453,                 2.2553,                 2.5146,                0.16995,                0.31579,                0.18282,                0.05195,                 3.3257,                 29.722,                 2.5495,              0.0097426,              0.0097426,              0.0097426
                     28,                 2.9048,                 2.2359,                 2.5604,                0.16537,                0.15789,                0.10434,                0.03139,                 3.4311,                 5.1289,                 2.8392,              0.0097327,              0.0097327,              0.0097327
                     29,                  2.925,                 2.1491,                 2.5218,                0.37746,                0.31579,                0.27219,                0.06769,                 3.1418,                 6.2183,                 2.6635,              0.0097228,              0.0097228,              0.0097228
                     30,                 2.7641,                 2.1561,                 2.5111,                0.21644,                0.21053,                0.17093,                 0.0393,                 3.3248,                  11.01,                 2.8211,              0.0097129,              0.0097129,              0.0097129
                     31,                 2.7331,                 2.2024,                 2.4445,                0.34557,                0.36842,                0.25712,                0.07433,                  3.469,                 6.0148,                 3.0715,               0.009703,               0.009703,               0.009703
                     32,                 2.7614,                 2.1789,                 2.4394,                0.37343,                0.36842,                0.24695,                0.09289,                 3.4772,                 5.3873,                 3.0507,              0.0096931,              0.0096931,              0.0096931
                     33,                 2.8395,                 2.2132,                 2.4828,                0.17928,                0.42105,                0.13896,                0.03887,                 3.3848,                 9.1003,                  2.911,              0.0096832,              0.0096832,              0.0096832
                     34,                 2.7708,                  2.267,                 2.4905,                0.13987,                0.26316,                0.12041,                 0.0393,                 3.5089,                 31.149,                 2.8978,              0.0096733,              0.0096733,              0.0096733
                     35,                 2.8185,                 2.1267,                 2.4843,                0.55553,                0.42105,                 0.4434,                0.20063,                  3.047,                 4.4409,                 2.7385,              0.0096634,              0.0096634,              0.0096634
                     36,                 2.7004,                 2.0783,                 2.4126,                0.58425,                0.36842,                0.42059,                0.15241,                 3.0977,                 4.1267,                 2.7152,              0.0096535,              0.0096535,              0.0096535
                     37,                 2.7005,                 2.0448,                 2.4075,                0.40908,                0.47368,                 0.3416,                 0.1092,                 3.0717,                 4.8476,                 2.6628,              0.0096436,              0.0096436,              0.0096436
                     38,                  2.863,                 2.1376,                   2.55,                0.29553,                0.26316,                0.12844,                0.03783,                 3.6916,                 4.1182,                 2.9554,              0.0096337,              0.0096337,              0.0096337
                     39,                 2.6054,                 2.0927,                 2.3459,                0.17117,                0.31579,                0.12441,                 0.0325,                 3.6543,                   6.38,                 2.8838,              0.0096238,              0.0096238,              0.0096238
                     40,                 2.6444,                 1.9867,                 2.3388,                0.52654,                0.42105,                0.32421,                0.10371,                 3.3192,                 4.7173,                 2.6739,              0.0096139,              0.0096139,              0.0096139
                     41,                 2.6657,                 2.0147,                 2.3608,                0.19079,                0.26316,                0.09875,                0.03212,                 3.4754,                 2.4945,                 2.9677,               0.009604,               0.009604,               0.009604
                     42,                 2.6099,                 2.0455,                 2.3554,                0.43651,                0.36842,                0.30912,                 0.0934,                 3.3184,                 2.2805,                 2.8353,              0.0095941,              0.0095941,              0.0095941
                     43,                 2.5797,                 1.9281,                 2.3026,                0.70125,                0.36842,                0.38934,                0.11778,                 3.0391,                 2.5582,                 2.6047,              0.0095842,              0.0095842,              0.0095842
                     44,                 2.6034,                 1.9462,                 2.3036,                0.33535,                0.47368,                0.29341,                0.11904,                 2.9971,                 2.4872,                 2.6133,              0.0095743,              0.0095743,              0.0095743
                     45,                 2.6428,                 2.0362,                 2.3318,                0.51715,                0.42105,                 0.3928,                0.17364,                 2.8957,                 2.7898,                 2.4924,              0.0095644,              0.0095644,              0.0095644
                     46,                 2.6796,                  2.017,                 2.2897,                0.47777,                0.42105,                0.30717,                0.12799,                 2.8077,                 6.3179,                 2.7222,              0.0095545,              0.0095545,              0.0095545
                     47,                 2.6839,                 1.8663,                 2.3115,                0.48973,                0.52632,                0.40294,                0.18736,                 2.7885,                 5.0862,                 2.5493,              0.0095446,              0.0095446,              0.0095446
                     48,                 2.5392,                 1.8135,                 2.2833,                 0.6372,                0.42105,                0.50634,                0.16182,                 2.9191,                 3.3556,                 2.5332,              0.0095347,              0.0095347,              0.0095347
                     49,                 2.6344,                 1.9272,                 2.3974,                0.63904,                0.47368,                0.43373,                0.12973,                 2.9392,                 2.4579,                 2.4805,              0.0095248,              0.0095248,              0.0095248
                     50,                  2.573,                 1.9074,                 2.3425,                0.61758,                0.31579,                0.36609,                 0.1419,                 3.3849,                 2.0687,                 2.7887,              0.0095149,              0.0095149,              0.0095149
                     51,                 2.4744,                 1.7989,                 2.2683,                0.80497,                0.31579,                0.42467,                0.16131,                  3.214,                 2.3665,                  2.682,               0.009505,               0.009505,               0.009505
                     52,                 2.4573,                 1.6966,                 2.2761,                0.27577,                0.57895,                0.38869,                0.16279,                  2.915,                 2.8545,                 2.4465,              0.0094951,              0.0094951,              0.0094951
                     53,                 2.4248,                 1.8238,                 2.2322,                0.61252,                0.47368,                0.55356,                0.21566,                 2.7342,                 2.0598,                 2.3664,              0.0094852,              0.0094852,              0.0094852
                     54,                 2.4334,                 1.7518,                 2.2341,                0.55591,                0.42105,                0.42427,                0.20651,                 2.6185,                 2.7089,                 2.2649,              0.0094753,              0.0094753,              0.0094753
                     55,                 2.3389,                 1.6121,                 2.1585,                0.63211,                0.47368,                0.40815,                0.19254,                 2.7257,                 4.2463,                 2.3043,              0.0094654,              0.0094654,              0.0094654
                     56,                 2.3699,                 1.6648,                 2.1279,                 0.4427,                0.15789,                0.19718,                 0.0815,                 2.7745,                 7.1506,                 2.2664,              0.0094555,              0.0094555,              0.0094555
                     57,                  2.371,                 1.7504,                   2.15,                0.56677,                0.21053,                0.26752,                0.11253,                 2.9021,                 5.1857,                 2.4531,              0.0094456,              0.0094456,              0.0094456
                     58,                 2.3435,                 1.6399,                 2.1494,                0.60139,                0.31579,                0.41172,                0.19737,                 2.6229,                 2.2068,                 2.2117,              0.0094357,              0.0094357,              0.0094357
                     59,                 2.3196,                 1.6273,                  2.137,                0.57357,                0.49632,                0.51869,                 0.2634,                 2.6034,                  1.964,                 2.2482,              0.0094258,              0.0094258,              0.0094258
                     60,                 2.2772,                 1.6096,                 2.0652,                0.71106,                0.36842,                0.47605,                0.20727,                 2.6108,                 2.2964,                 2.2176,              0.0094159,              0.0094159,              0.0094159
                     61,                 2.2248,                 1.6497,                 2.1044,                0.66074,                0.51321,                0.47896,                0.15108,                 2.8952,                 3.0241,                 2.5366,               0.009406,               0.009406,               0.009406
                     62,                 2.3798,                  1.686,                  2.252,                0.49438,                0.31579,                0.33519,                 0.0903,                 3.2999,                 3.3446,                 3.0116,              0.0093961,              0.0093961,              0.0093961
                     63,                 2.3727,                 1.6995,                 2.1539,                0.31744,                0.31579,                0.25587,                 0.0773,                 3.1732,                 3.0473,                 2.8939,              0.0093862,              0.0093862,              0.0093862
                     64,                 2.3583,                 1.6027,                 2.1551,                0.44392,                0.75666,                0.39249,                0.13821,                 2.6936,                  2.521,                  2.311,              0.0093763,              0.0093763,              0.0093763
                     65,                  2.332,                  1.568,                 2.1619,                0.77482,                0.52632,                0.62236,                0.24097,                 3.0514,                  1.829,                 2.5889,              0.0093664,              0.0093664,              0.0093664
                     66,                 2.2508,                 1.6236,                 2.0914,                0.79068,                0.57895,                0.63235,                0.26859,                 2.7287,                 1.8727,                 2.3806,              0.0093565,              0.0093565,              0.0093565
                     67,                 2.2551,                 1.6197,                 2.0913,                0.41996,                0.57895,                0.54052,                0.23169,                 2.7237,                 1.9781,                 2.3443,              0.0093466,              0.0093466,              0.0093466
                     68,                 2.2071,                 1.5572,                 2.0572,                 0.6627,                0.57895,                0.58751,                 0.2607,                 2.4767,                 2.0409,                 2.1508,              0.0093367,              0.0093367,              0.0093367
                     69,                 2.2788,                 1.5647,                 2.1222,                0.86949,                0.47368,                0.52789,                0.24806,                  2.573,                 2.3617,                 2.2369,              0.0093268,              0.0093268,              0.0093268
                     70,                 2.2971,                 1.5697,                 2.1113,                 0.9143,                0.56253,                0.67605,                0.28953,                 2.6961,                 1.9623,                 2.2646,              0.0093169,              0.0093169,              0.0093169
                     71,                 2.2784,                 1.6242,                 2.0838,                0.93647,                0.52632,                 0.5821,                 0.2619,                 2.5982,                  2.118,                  2.254,               0.009307,               0.009307,               0.009307
                     72,                 2.2606,                 1.5405,                 2.1027,                0.97132,                0.47368,                0.64502,                0.24768,                 2.7352,                 1.8104,                 2.3614,              0.0092971,              0.0092971,              0.0092971
                     73,                 2.1974,                 1.5127,                  2.049,                0.65342,                0.52632,                0.50517,                0.21144,                 2.9324,                 3.7947,                 2.3068,              0.0092872,              0.0092872,              0.0092872
                     74,                 2.2646,                 1.5635,                 2.0739,                0.54842,                0.47368,                0.46532,                0.19147,                 2.7271,                 3.6527,                 2.2827,              0.0092773,              0.0092773,              0.0092773
                     75,                 2.1532,                 1.4781,                 2.0046,                0.73309,                0.36842,                0.41628,                0.16061,                 3.2601,                 2.0767,                 2.9164,              0.0092674,              0.0092674,              0.0092674
                     76,                 2.2402,                 1.5279,                 2.0205,                0.77707,                0.36707,                0.49203,                0.15776,                 3.1798,                 2.3593,                 3.0043,              0.0092575,              0.0092575,              0.0092575
                     77,                 2.1453,                 1.5222,                 2.0087,                0.68745,                0.68421,                 0.5738,                0.23028,                  2.789,                 1.8397,                 2.5321,              0.0092476,              0.0092476,              0.0092476
                     78,                 2.1485,                 1.5521,                 2.0041,                 0.5285,                0.52632,                0.49453,                0.23325,                 2.6559,                 1.8654,                  2.533,              0.0092377,              0.0092377,              0.0092377
                     79,                 2.1553,                 1.4913,                 1.9813,                0.53271,                0.63158,                0.47046,                0.19644,                 2.7932,                 1.8845,                 2.6278,              0.0092278,              0.0092278,              0.0092278
                     80,                 2.2001,                 1.5543,                 2.0486,                0.66064,                0.57895,                0.55366,                0.24303,                  2.595,                 1.6953,                 2.2323,              0.0092179,              0.0092179,              0.0092179
                     81,                 2.1798,                 1.5442,                 2.0097,                0.63899,                0.68421,                0.62211,                0.34638,                 2.4828,                 1.8734,                 2.1441,               0.009208,               0.009208,               0.009208
                     82,                 2.1706,                 1.5221,                 2.0552,                0.76376,                0.68083,                0.67363,                0.33804,                 2.4849,                 2.1101,                 2.1098,              0.0091981,              0.0091981,              0.0091981
                     83,                 2.1892,                 1.5218,                 1.9942,                 0.6992,                0.78947,                0.72457,                 0.3261,                 2.5154,                 1.7863,                 2.0524,              0.0091882,              0.0091882,              0.0091882
                     84,                 2.1412,                 1.4016,                 1.9938,                0.63678,                0.68421,                0.66038,                0.27841,                 2.6533,                 1.9857,                  2.384,              0.0091783,              0.0091783,              0.0091783
                     85,                 2.0272,                 1.3956,                 1.9345,                0.81993,                0.63158,                0.65137,                0.31733,                 2.4865,                 1.6513,                 2.2869,              0.0091684,              0.0091684,              0.0091684
                     86,                 2.1593,                 1.4682,                  1.962,                0.69717,                 0.7274,                 0.6728,                 0.3392,                 2.5737,                 1.4796,                 2.3018,              0.0091585,              0.0091585,              0.0091585
                     87,                 2.0979,                 1.4609,                  1.961,                0.83057,                0.51671,                0.59794,                0.32201,                 2.6135,                 1.7308,                 2.3264,              0.0091486,              0.0091486,              0.0091486
                     88,                  2.117,                 1.4722,                 1.9892,                0.63711,                0.55521,                0.50739,                0.22156,                 2.6211,                 1.9949,                  2.283,              0.0091387,              0.0091387,              0.0091387
                     89,                 2.1031,                 1.5263,                 1.9691,                0.81722,                0.63158,                0.67358,                0.35108,                 2.4282,                 1.6176,                 2.1432,              0.0091288,              0.0091288,              0.0091288
                     90,                 2.1017,                 1.4349,                 1.9511,                0.86396,                0.52632,                0.66932,                0.35908,                 2.3785,                 1.5355,                 2.1581,              0.0091189,              0.0091189,              0.0091189
