                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5671,                 13.163,                  2.427,                0.00059,                0.11111,                0.00035,                0.00012,                 3.9863,                 5.0012,                 2.9433,                 0.0883,                 0.0013,                 0.0013
                      2,                 3.2565,                 4.6216,                 2.3441,                0.00119,                0.22222,                0.00088,                0.00021,                 4.4526,                 5.1963,                 8.0825,               0.075697,              0.0026973,              0.0026973
                      3,                 3.2495,                 3.8734,                 2.3424,                0.00119,                0.22222,                0.00088,                0.00021,                 5.2942,                    inf,                 9.3466,               0.063092,              0.0040919,              0.0040919
                      4,                 3.1152,                 3.6875,                 2.3686,                0.00119,                0.22222,                0.00088,                0.00021,                 4.7524,                    inf,                 22.335,               0.050484,              0.0054837,              0.0054837
                      5,                 3.0873,                 3.4563,                 2.3807,                0.00142,                0.22222,                0.00348,                0.00106,                  4.157,                    inf,                 6.4228,               0.037873,              0.0068727,              0.0068727
                      6,                 3.1437,                 3.4841,                 2.3883,                0.00142,                0.22222,                0.00348,                0.00106,                 5.7829,                    inf,                 13.768,               0.025259,              0.0082589,              0.0082589
                      7,                 3.0713,                 3.3397,                  2.335,                0.00179,                0.18519,                0.00197,                0.00059,                 4.7506,                    inf,                 3.7978,               0.012642,              0.0096424,              0.0096424
                      8,                 2.9865,                 3.0742,                 2.2323,                 0.0014,                0.18519,                0.00089,                0.00016,                 4.9824,                    inf,                 4.0541,              0.0099307,              0.0099307,              0.0099307
                      9,                 2.8871,                 3.0151,                 2.1995,                0.02844,                0.44444,                 0.0158,                0.00567,                 3.9196,                    inf,                 3.5309,              0.0099208,              0.0099208,              0.0099208
                     10,                 2.8229,                 2.8383,                 2.1725,                0.00125,                0.22222,                0.00077,                0.00029,                 3.5276,                    inf,                 3.7473,              0.0099109,              0.0099109,              0.0099109
                     11,                 2.7363,                  2.611,                 2.0945,                0.00125,                0.22222,                0.00077,                0.00029,                 4.7035,                    inf,                 5.6483,               0.009901,               0.009901,               0.009901
                     12,                 2.7841,                 2.7511,                 2.2037,                0.05413,                0.11111,                 0.0308,                 0.0041,                 4.6351,                  9.981,                 3.5466,              0.0098911,              0.0098911,              0.0098911
                     13,                  2.768,                 2.3932,                 2.1177,                0.10363,                0.25926,                0.20089,                  0.065,                 3.6768,                 48.588,                 2.6564,              0.0098812,              0.0098812,              0.0098812
                     14,                 2.7431,                 2.4087,                 2.1045,                0.10185,                0.18519,                0.05057,                 0.0119,                 3.5703,                 19.731,                 2.9131,              0.0098713,              0.0098713,              0.0098713
                     15,                 2.6816,                 2.4064,                 2.0766,                0.12937,                0.14815,                 0.1151,                0.03623,                 3.5312,                 22.228,                 2.7999,              0.0098614,              0.0098614,              0.0098614
                     16,                 2.5844,                 2.2296,                 2.0224,                0.06002,                0.25926,                0.03226,                0.00805,                 3.6256,                 14.988,                 2.7849,              0.0098515,              0.0098515,              0.0098515
                     17,                 2.5408,                  2.052,                 2.0204,                0.00488,                0.07407,                0.00232,                0.00082,                 4.1362,                 10.886,                 3.3624,              0.0098416,              0.0098416,              0.0098416
                     18,                 2.6358,                 2.2641,                 2.0343,                0.02581,                0.18519,                0.01162,                0.00205,                 3.6197,                 30.552,                 2.8592,              0.0098317,              0.0098317,              0.0098317
                     19,                 2.5773,                 2.0584,                 1.9983,                0.25585,                0.48393,                0.29914,                0.07741,                 3.2301,                 6.0557,                 2.5877,              0.0098218,              0.0098218,              0.0098218
                     20,                 2.4322,                 1.9364,                 1.9159,                0.40471,                 0.2963,                0.26978,                0.08411,                 3.0209,                 2.6751,                 2.3706,              0.0098119,              0.0098119,              0.0098119
                     21,                 2.5162,                 1.9525,                 1.9938,                0.24247,                0.37037,                0.21187,                0.07684,                 2.7825,                 5.3504,                 2.1399,               0.009802,               0.009802,               0.009802
                     22,                 2.4266,                 1.9352,                  1.951,                0.24065,                0.22222,                0.13316,                0.04731,                 3.4648,                 5.9546,                 2.6465,              0.0097921,              0.0097921,              0.0097921
                     23,                 2.3937,                 1.8777,                 1.9089,                0.89816,                0.14815,                0.24816,                 0.0818,                 2.8544,                 2.5932,                  2.068,              0.0097822,              0.0097822,              0.0097822
                     24,                 2.4551,                 1.8698,                 1.9694,                0.47301,                0.49898,                 0.5382,                0.22585,                 2.3958,                 2.5161,                 1.8881,              0.0097723,              0.0097723,              0.0097723
                     25,                 2.3723,                 1.8558,                 1.9491,                0.61765,                0.51852,                0.53936,                0.20643,                 2.6388,                 1.7865,                 2.0111,              0.0097624,              0.0097624,              0.0097624
                     26,                 2.4019,                 1.7854,                 1.9029,                0.83066,                0.40741,                0.56985,                0.18071,                 2.6245,                 2.0731,                 2.0123,              0.0097525,              0.0097525,              0.0097525
                     27,                 2.3963,                 1.7359,                 1.9151,                0.64252,                0.48148,                0.45628,                0.16754,                 2.6724,                  2.303,                 2.0439,              0.0097426,              0.0097426,              0.0097426
                     28,                 2.3711,                 1.7545,                 1.8863,                 0.7463,                0.43623,                0.50147,                 0.1497,                 2.6211,                 4.0523,                 2.0289,              0.0097327,              0.0097327,              0.0097327
                     29,                 2.3791,                 1.6992,                  1.891,                0.68065,                0.63159,                0.67778,                0.26487,                 2.6523,                  1.578,                 2.0875,              0.0097228,              0.0097228,              0.0097228
                     30,                 2.3474,                 1.5735,                 1.8252,                0.73617,                0.72375,                0.73333,                0.28777,                 2.4694,                 1.6041,                 1.9923,              0.0097129,              0.0097129,              0.0097129
                     31,                 2.3238,                 1.5273,                 1.8706,                0.64929,                0.61743,                0.58106,                0.22303,                 2.5411,                 2.1606,                  2.038,               0.009703,               0.009703,               0.009703
                     32,                 2.3385,                 1.5507,                 1.8486,                 0.7825,                0.79981,                0.84485,                0.35046,                  2.465,                 1.8274,                  1.898,              0.0096931,              0.0096931,              0.0096931
                     33,                 2.3413,                  1.536,                 1.8963,                 0.8522,                0.81481,                0.87143,                0.29874,                 2.4901,                 1.7111,                 1.9609,              0.0096832,              0.0096832,              0.0096832
                     34,                 2.2774,                  1.425,                 1.8216,                0.79966,                0.59259,                0.65848,                0.23723,                 2.7146,                 1.5187,                  2.084,              0.0096733,              0.0096733,              0.0096733
                     35,                 2.1963,                 1.4359,                 1.8204,                0.67144,                0.68151,                0.67722,                0.23809,                 2.7295,                 1.6398,                 2.1157,              0.0096634,              0.0096634,              0.0096634
                     36,                 2.2322,                 1.4224,                 1.8225,                0.81064,                0.66667,                0.67432,                0.27558,                 2.6032,                 1.5234,                  2.072,              0.0096535,              0.0096535,              0.0096535
                     37,                  2.297,                 1.5161,                  1.837,                 0.5039,                 0.5645,                0.56282,                0.20778,                 2.6239,                 1.7567,                 2.1143,              0.0096436,              0.0096436,              0.0096436
                     38,                 2.2282,                 1.4093,                 1.7962,                0.75943,                0.40741,                0.54248,                0.16057,                 2.6863,                 1.8484,                 2.0794,              0.0096337,              0.0096337,              0.0096337
