                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.564,                 4.9996,                 2.4626,                0.00034,                0.06332,                0.00018,                  5e-05,                 4.3302,                    inf,                 17.259,               0.070682,              0.0032576,              0.0032576
                      2,                 3.4144,                 3.5128,                 2.3933,                 0.0262,                0.05127,                 0.0181,                0.00662,                 3.9719,                    inf,                 4.1178,               0.040675,              0.0065844,              0.0065844
                      3,                 3.4014,                 3.4031,                 2.4215,                0.22759,                0.00909,                0.01125,                0.00333,                 5.6851,                    inf,                 200.44,               0.010662,              0.0099046,              0.0099046
                      4,                 3.3006,                 3.2353,                 2.3452,                0.04006,                0.10871,                0.03503,                0.01284,                 3.8154,                    inf,                 3.2016,              0.0099703,              0.0099703,              0.0099703
                      5,                 3.1633,                 3.0897,                 2.2455,                0.07328,                0.20916,                 0.0419,                0.01385,                  3.468,                  30.49,                 3.0455,              0.0099604,              0.0099604,              0.0099604
                      6,                 3.1913,                 2.9421,                  2.268,                0.04613,                0.11008,                0.04097,                0.01418,                 3.6216,                 16.756,                 2.8345,              0.0099505,              0.0099505,              0.0099505
                      7,                 3.0873,                 2.8758,                 2.2168,                0.15432,                0.26819,                0.07744,                0.02717,                 3.1497,                 35.522,                 2.4642,              0.0099406,              0.0099406,              0.0099406
                      8,                 3.0156,                 2.7809,                 2.1384,                0.69616,                0.10801,                0.08434,                0.02531,                 3.5882,                 8.6928,                 2.7711,              0.0099307,              0.0099307,              0.0099307
                      9,                 3.0352,                 2.7285,                 2.1888,                0.09885,                0.23521,                0.09447,                0.03595,                 3.2563,                 24.269,                 2.8133,              0.0099208,              0.0099208,              0.0099208
                     10,                 3.0259,                 2.6974,                 2.2173,                 0.2825,                 0.2534,                  0.137,                0.05082,                 3.1118,                 5.5461,                 2.5433,              0.0099109,              0.0099109,              0.0099109
